drug_name,dose,form
Andovimpamide,50 mg,tabs.
Andovimpamide,50 mg,tabs.
Andovit Immune Vit. c,1000 mg,tabs.
Andovit Immune Vit. c,500 mg,tabs.
Andovit Iron,0,tabs.
Andovit Iron Plus,100 ml,susp.
Andovit Neuro,0,tabs.
Andovit Neuro,0,tabs.
Andovit Omega,0,caps.
Andoxezine,150 mg,tabs.
Andoxezine,300 mg,tabs.
Andractim,2.5 %,gel
Andrin Eye Contour,0,cream
Andriol,40 mg,caps
Androcur,50 mg,tab.
Andromen,40 mg,soft gelatin caps.
Androxine,250 mg,tab.
Andy,0,sachets
Anestacon,2 mg/ml,i.v. infusion
Anestacon,2 mg/ml,i.v. infusion
Anestacon,2 mg/ml,i.v. infusion
Anesty Topical,0,gel
Anexate,0.5 mg/5 ml,i.v. amps.
Anexnil,0.5 mg/5 ml,i.v. amps.
Angelica,0,cream
Angelica Massage,0,cream
Angiflash Sore Throat,0,spray
Angikinase,100 000 i.u.,vial
Angikinase,250 000 i.u.,vial
Angikinase,500 000 i.u.,vial
Angilow,10 mg,tab.
Angilow,20 mg,tab.
Anginitra,5 mg,sublingual tab.
Angioblock,150/12.5 mg,tabs.
Angioblock,150/12.5 mg,tabs.
Angioblock,300/12.5 mg,tabs.
Angioblock,300/25 mg,tabs.
Angioblock Mono,150 mg,tabs.
Angioblock Mono,300 mg,tabs.
Angioblock Mono,75 mg,tabs
Angiobradine,5 mg,scored f.c. tabs
Angiobradine,7.5 mg,tabs
Angiobradine,7.5 mg,tabs.
Angiofox (effox),20 mg,tabs.
Angiofox (effox),25 mg,long caps.
Angiofox (effox),40 mg,tabs.
Angiofox (effox),50 mg,long caps.
Angiografin,65 %,infusion
Angiopress,25 mg,tab.
Angiopress,50 mg,tab.
