drug_name,dose,form
allmed d3 infant,21 ml,oral spray
allmed d3 kids,21 ml,oral spray
allmed l-omega 3,Null,capsule
allmouth m. w & gargle,Null,mouth wash
alloben,Null,tablet
allozem-nano antiseptic,75 ml,gel
allur,50 gm,cream
allzyme max limitless,Null,tablet
almitat,0.05 %,cream
almitat,15 gm,cream
almitat,Null,cream
almitat,15 gm,ointment
almotrip forte,12.5 mg,tablet
aloclair,250 ml,mouth wash
aloe vera weiser,10 ml,hair ampoule
aloe vera with natural e,Null,soft capsule
aloe vera with natural e,Null,soft capsule
aloe vera with panthenol weiser,10 ml,hair ampoule
aloejen,200 ml,vaginal douche
aloekita anti-dandruff,200 ml,shampoo
aloekita ds hair,250 ml,shampoo
aloekita,200 ml,hair conditioner
aloekita,200 gm,hair mask
aloekita,200 ml,hair shampoo
aloekita,200 ml,hair spray
alojoba,250 gm,hair cream
alojoba,120 ml,hair oil
alojoba,120 ml,hair serum
alojoba,120 ml,hair shampoo
alojoba,250 ml,hair shampoo
alomide,1 mg/ml,eye drops
alopanthen,190 ml,hair lotion
alopanthen,215 ml,hair shampoo
aloreed,20 gm,ointment
alotov,Null,Null
alovenol,120 ml,hair lotion
alover,Null,Null
alovision,120 ml,hair lotion
aloxi,0.25 mg/5 ml,vial
alpecin active shampoo a1,250 ml,shampoo
alpecin active shampoo a2,250 ml,shampoo
alpecin anti-dandruff shampoo a3,250 ml,shampoo
alpecin caffeine,200 ml,liquid
alpecin caffeine,200 ml,liquid
alpecin caffeine shampoo c1,250 ml,shampoo
alpecin double-effect caffeine shampoo,250 ml,shampoo
alpecin double-effect caffeine shampoo,250 ml,shampoo
alpecin sensitive shampoo s1,250 ml,shampoo
alpetigo,1 %,ointment
alpha drink,Null,sachet
