drug_name,dose,form
anastrozol sandoz,1 mg,tab.
anastrozol synthon,1 mg,tab.
anausan,120 ml,syrup
ancavaz,10/10 mg,tabs.
ancavaz,10/5 mg,tabs.
ancavaz,5/10 mg,tabs.
ancavaz,5/5 mg,tabs.
andagra,100 mg,tabs
andagra,100 mg,tabs.
andequepine,200 mg,tab.
andiomaline,6 % 4 ml,amp
ando,10 gm,sachets
andocandoxin,200 mg,vaginal caps.
andocandoxin,600 mg,vaginal caps.
andoceptive,30/75 mcg,tabs.
andocholest,625 mg,tablets
andodaclata,60 mg,tabs.
andodaricin,7.5 mg,tab.
andoderma extra emollient,50 ml,gel
andoderma sunscreen spf 34,100 ml,spray
andoderma sunscreen spf 50,75 gm,lotion
andoderma whitening,50 gm,cream
andoflozin xr,12.5/1000 mg,tabs.
andoflozin xr,25/1000 mg,tabs.
andofuryl,100 mg,caps.
andogablin,75 mg,cap
andoglycemic xr,1000 mg,tabs.
andoglycemic xr,500 mg,tabs.
andogonium,100 ml,syrup
andohepasuvir,400 mg,tablets
andomatoid,2 mg,tabs.
andomatoid,4 mg,tabs.
andomilast,0.5 mg,tabs.
andopentene xr,300 mg,tabs.
andopentene xr,600 mg,tabs.
andopoxetine,30 mg,tabs.
andopoxetine,60 mg,tabs
andorasirox,500 mg,tabs.
andorivaban,10 mg,tabs
andorivaban,15 mg,tabs
andorivaban,2.5 mg,tabs
andorivaban,20 mg,tabs.
andouristat,120 mg,tablets
andouristat,80 mg,tablets
andovimpamide,100 mg,tabs.
andovimpamide,100 mg,tabs.
andovimpamide,10 mg/ml 100 ml,syrup
andovimpamide,150 mg,tabs.
andovimpamide,200 mg,vial
andovimpamide,200 mg,tabs.
