drug_name,dose,form
aromalock,2.5 mg,tablet
aromasin,25 mg,tablet
aromix,100 mg,sachet
aromix plus,0,capsule
arozole,100 mg,capsule
arozole,100 mg,capsule
arpimune me,100 mg,capsule
arpimune me,25 mg,capsule
arpimune me,50 mg,capsule
arrowsamine,0,capsule
arsenal,0,capsule
art q,60 gm,cream
art q facial cleanser,200 ml,cleanser
artagone,0,capsule
artamine,250 mg,capsule
artec,500/500 mg,tablet
arteflex,200 mg,capsule
arteflex,300 mg,capsule
arteflex,67 mg,capsule
artelac ophtiole,3.2 mg/ml,eye drops
arthenia,20 gm,cream
arthenia,50 gm,cream
arthfree,100 mg,tablet
arthfree,20 mg,tablet
arthineur,0,capsule
arthricox,15 mg,tablet
arthritis free,0,spray
arthrofast,150 mg,tablet
arthrosamine,0,capsule
arti top.,120 ml,lotion
articavol,75 mg/3 ml,ampoule
articu-safe,50 mg,capsule
articulage,0,sachet
articulage,0,sachet
articulage,0,sachet
artificial renal solution 1012,0,solution
artificial saliva,30 ml,spray
artilane classic,10 ml,bottle
artilane forte,10 ml,bottle
artinibsa,40 mg/0.005 mg/ml,injection
artinibsa,40 mg/0.01 mg/ml,injection
artisoy,0,tablet
artixiban,2.5 mg,tablet
artixiban,5 mg,tablet
artofenac,0.09 %,eye drops
artpharmadent,1.7 ml,cartridge
artpharmadent,1.7 ml,cartridge
arythrex,100 mg,capsule
arythrex,200 mg,capsule
arzo comp,0,cream
