drug_name,dose,form
actriazole,200 mg,caps.
acucort,Null,cream
acular ls,0.4 %,eye drops
acupan,20 mg/ml,amps.
acupan,30 mg,tabs.
acyclostad,5 %,cream
acyclovir,1 gm,vial
acyclovir,200 mg,tab
acyclovir,250 mg,vials
acyclovir,3 %,eye oint.
acyclovir stada,400 mg,tabs.
acyclovir stada,800 mg,tab.
acyclovir-misr,5 %,topical cream
ad-muc,Null,oral oint.
adagel,0.1 %,topical gel.
adalat la,30 mg,tabs.
adalat retard,20 mg,tab
adam,Null,veg. caps.
adamat,250 mg,caps.
adamine,100 mg,caps.
adancor,10 mg,breakable tabs.
adancor,20 mg,breakable tabs.
adanoid,0.1 %,top. gel
adant,25 mg/2.5 ml,intra-articular prefilled syringe
adapalene,0.1 %,gel
adapalene duo forte,Null,gel
adaptan,250 mg/5 ml,oral solution
adaptan,300 mg,soft gelatin cap.
adaptan,400 mg,soft gelatin caps.
adcetris,50 mg,pd. conc.
adcocare,Null,cream
adcocare,Null,cream
adcocetine,1 %,oint.
adcoclindace,10 mg/30 ml,top. soln.
adcoclindace,150 mg,caps.
adcoclindace,300 mg,caps.
adcocort,4 mg,tab
adcocycline,3 %,oint.
adcoform,Null,oint
adcokion,10 mg,chew.tab.
adcokion,10 mg/ml,amp.
adcomex,Null,sterile eye drops
adcopantin,5 %,topical cream
adcopantin,5 %,topical cream
adcostigmine,0.5 mg/ml,amp.
adcostigmine,5 mg,tab.
adcotrexin,Null,caps.
adcozole,2 %,topical cr.
addamel n,Null,i.v amp
addo-g,Null,hard gelatin capsules
