drug_name,dose,form
advanced vitamin c,90 mg,gummies
advancevela max massage,50 gm,cream
advancrib,400 mg,tabs
advanopain,200 mcg,sublingual tabs
advic,50 gm,cream
advil,200 mg,tab
advil,20 mg,suspension
advil cold & sinus,20 mg,cap
advil cold and sinus,10 mg,coated caplets
advil concetrared,15 ml,drops
advil effective medicine,200 mg,tab
advil ibuprofen,10 mg,tab
advil rhume et sinus,20 mg,tab
advipro cough & cold,120 ml,syrup
advo collagen,7 mg,sachets
advochol,10 mg,tabs
advochol,10 mg,tabs
advochol,10 mg,tabs
advoctam,4.5 gm,pd
advodmontace,5 mg,tab
advohelix,120 ml,syrup
advomikacin,500 mg / 2 ml,vial
advoserc,24 mg,tab
advotinpo,50 mg,caps
advoxin,400 mg,tabs
adwibone,60 mg,tab
adwiflam infants,12.5 mg,supp
adwiflam,25 mg,tab
adwiflam children,25 mg,supp
adwiflam,50 mg,sachets
adwiflam,50 mg,er caps
adwiflam,50 mg,er caps
adwiflam,75 mg,supp
adwiflam,75 mg / 3 ml,amp
adwiflam,30 gm,emulgel
adwiflam,50 gm,emulgel
adwifloxacen,400 mg,tabs
adwimove,20 gm,topical gel
adwimove,50 gm,topical gel
adwinerve,500 mcg,caps
adwinerve plus,20 mg,caps
adwiprazole,10 mg,tab
adwiprazole,30 mg,tab
adwipril,2 mg,tab
adwipril,4 mg,tab
adwisept,10 %,vag douche
adwisomn,25 mg,cap
adwistadine,5 mg,scored fc tabs
adwistadine,7.5 mg,tabs
adwitine,30 mg,caps
