drug_name,dose,form
antiflu,20 mg,capsule
antikramp,5 mg/2 ml,ampoule
antimigrozan,2.5 mg,dispersible tabs
antimigrozan,5 mg,dispersible tabs
antimo massage,Null,gel
antimycot,Null,drops
antinal,200 mg,capsule
antinal,220 mg/5 ml,suspension
antioxidant plus,20 mg,capsule
antiretro,200 mg,capsule
antiscar,Null,viscous solution
antiseptol,1 mg/ml,mouth wash
antiver,100 mg,tablet
antiver,100 mg/5 ml,suspension
antizole,100 mg/5 ml,suspension
antizole,200 mg,tablet
antodine,10 mg,chewable tab
antodine,20 mg,effervescent tabs
antodine,20 mg,tablet
antodine,20 mg/2 ml,ampoule
antodine,40 mg,tablet
antodine,40 mg/5 ml,powder for oral suspension
antopral,20 mg,tablet
antopral,40 mg,tablet
antopral,40 mg,powder for i.v. inf. vial
antox,30 mg,tablet
anusol,Null,ointment
anusol 6,Null,suppository
anusol hc,Null,ointment
anusol hc 6,Null,suppository
anuva,50 mg,dispersible tabs
anviziram,200 mg,tablet
anviziram,200 mg,tablet
anxbeat,15 mg,tablet
anzatax,6 mg/ml,i.v. inf. vial
anzatax,6 mg/ml,i.v. inf. vial
anzatax,6 mg/ml,i.v. inf. vial
anzoptima,665 mg,mr tabs
apcalis,20 mg,film coated tab
aperitif,Null,syrup
apetoid,100 mg,tablet
apetoid,20 mg,tablet
apetryl,0.5 mg,tablet
apetryl,2 mg,tablet
apexawestan,2.5 mg,tablet
apexawestan,2.5 mg,tablet
apexazole,1 %,cream
apexazole,1 %,topical lotion
apexidone,0.5 mg,tablet
apexidone,1 mg,tablet
