drug_name,dose,form
alganovo masssage,50 gm,gel
alganovo masssage,125 ml,spray
algason massage,40 gm,cream
algesal suractive,40 gm,cream
algibaume,25 gm,cream
algicab,120 ml,suspension
alhydran,100 ml,gel
alhydran,30 ml,gel
aliamare nasal,100 ml,spray
alimta,100 mg,vial
alimta,500 mg,vial
alin,Null,Null
aliquam anti-dandruff shampoo,200 ml,shampoo
alirosa,Null,capsule
aliva,Null,tablet
alizolam,2 mg,tablet
alka,Null,sachet
alka rose massage,50 gm,cream
alka seltzer,Null,tablet
alka seltzer original,Null,tablet
alka seltzer plus cold & flu,Null,tablet
alka-misr alkaline wash,Null,powder
alka-misr alkaline wash,Null,powder
alkaline wash (sap),Null,sachet
alkalipurin,2.4 g/2.5 gm,granule
alkament,Null,sachet
alkamint,Null,powder
alkanazole,150 mg,capsule
alkanazole,150 mg,capsule
alkanol,Null,solution
alkapezil,10 mg,tablet
alkapezil,5 mg,tablet
alkapowder alkaline,Null,powder
alkapress,10 mg,tablet
alkapress,5 mg,tablet
alkapress plus,10/160 mg,tablet
alkapress plus,10/320 mg,tablet
alkapress plus,5/160 mg,tablet
alkapress trio,10/320/25 mg,tablet
alkapress trio,5/160/12.5 mg,tablet
alkapress trio,5/160/25 mg,tablet
alkapride,50 mg,tablet
alkasilon,200 ml,Null
alkaspirin,Null,tablet
alkeran,2 mg,tablet
alkeran,2 mg,tablet
alkeran,50 mg,vial
alkeran,5 mg,tablet
alkomag,120 ml,suspension
alkor,10 mg,tablet
