drug_name,dose,form
acetaprofen,120 ml,susp.
acetasee,1 %,eye drops (susp.)
aceto-v,250 ml,vaginal wash
acetoflu cold and flu,20 mg,tabs.
acetoflu cold and flu,100 ml,syrup
acetoful,10 mg,tabs.
acetorphan children,30 mg,oral sachet
acetorphan infant,10 mg,oral sachets
acetothyme,10 mg,sachets
acetylcistein,200 mg,sachet
acetylcistein,600 mg,eff. instant gran. sachets
acetylcystdar,600 mg,eff. tabs
acetylovan,100 ml,syrup
achtenon,2 mg,tabs.
achtenon,2 mg,tabs.
achterctin,0.5 %,lotion
aciclovir mylan,250 mg,vials
aciclovir mylan,500 mg,vials
acicone,720 mg,chew. tab.
acicone,120 ml,susp.
acicone,200 ml,susp.
acicone-s,720/25 mg,chew. tab
acicone-s,120 ml,oral susp.
acicone-s,200 ml,oral susp.
acidipan,180 ml,oral susp.
acidnor,2 ml,amp
acidophilus probiotic,150 mg,tabs.
acik,50 gm,cream
acitretin,10 mg,caps.
acitretin,25 mg,caps.
acivirax,400 mg,tabs.
acivirax,800 mg,tabs.
aclasta,5 mg/100 ml,soln. for inf.
acless,100 gm,soap
acne benz,30 gm,topical gel
acne biotic,15 ml,paint
acne free,0.025 %,gel
acne free,0.05 %,cream
acne stop,0,lotion
acne zinc,20 ml,topical solution
acne-jed,0.1 %,topical gel
acne-stop,30 gm,cream
acne-stop,200 ml,facial wash
acne-stop,0,system (cream+wash)
acnebless,50 gm,cream
acnebless,200 ml,facial cleansing foaming gel
acnebless,50 ml,facial gel
acnefence,50 gm,topical gel
acnelofix,20 mg,caps.
acnescave,0.1 %,topical gel
