drug_name,dose,form
apple cider vinegar,600 mg,tabs
apple vinegar vilux,250 ml,syrup
apple vinegar vilux,473 ml,syrup
apple vinegar vilux,500 ml,syrup
apple-lite,Null,tablets
apranax,550 mg,tab
apranox,500 mg,amp
aprepemic,80 mg,caps
apresoline,20 mg,amp
apresoline,25 mg,tab
apricor,30 gm,cream
aprima,3 mg,Null
aprimertaz,30 mg,tabs
aprotinin,500000 iu,vail
aprovel,150 mg,tab
aprovel,300 mg,tab
aptamil 1 advance premium+,400 gm,milk
aptamil 2 advance premium+,400 gm,milk
aptamil 2,400 gm,milk
aptamil comfort,400 gm,milk
aptamil ha1,400 gm,milk
aptamil ha1,400 gm,milk
aptamil ha2,400 gm,milk
aptamil junior 3 advance premium+,400 gm,milk
aptamil junior 3,400 gm,milk
aptamil lf,400 gm,milk
aptamil nutriprem pdf,400 gm,milk
aptamil pre nutriprem,400 gm,milk
aptamil prosyneo,400 gm,milk
aptoful,10/25 mg,tab
aptoful,5/12.5 mg,tab
aqua b,Null,tabs
aqua cid,120 ml,syrup
aqua collo,120 ml,syrup
aqua cure,120 ml,syrup
aqua dent,300 ml,mouth wash
aqua dent,300 ml,mouth wash
aqua gripe n,60 ml,syrup
aqua gripe,120 ml,syrup
aqua ice complex,100 ml,gel
aqua ice complex,150 ml,spray
aqua moon,Null,syrup
aqua o acne,200 ml,cleanser
aqua plus,100 ml,syrup
aqua queen,Null,syp
aqua ream z,120 ml,syrup
aqua shuttle,75 ml,cream
aqua v - vaginal,60 ml,gel
aqua- gem- e-,Null,cap
aqua-akita facial,200 ml,cleanser
