drug_name,dose,form
alumag,Null,tab.
alumatrend,Null,oral susp.
alupent,2 mg/ml,elixir
alusprin forte,300 mg,tab (chew )
alusprin inf,75 mg,Null
alveobreeze,12 mcg,caps.
alveofact,108 mg/2.4 ml,intratracheal vial
alveofact,54 mg/1.2 ml,intratracheal vial
alveokids,Null,syrup
alveolin,Null,syrup
alveolin-p,Null,syrup
alveorest,Null,syrup
alveotrack,5 mg/ml,inhalation solution
alverinspasm,Null,s.g.caps.
alvesco,160 mcg/actuation,inhaler
alvesco,160 mcg/actuation,inhaler
alvesco,80 mcg/actuation,inhaler
alvetatalin,120 mg,cap
alvital iron,Null,syrup
alvital,Null,syrup
alvityl 12 vitamines,Null,coated tab
alwen,100 gm,massage gel
alwen,Null,massage spray
alzac,10 mg,caps.
alzad seas,Null,syrup
alzaglob,10 mg,scored f.c. tab.
alzental,200 mg,f.c.tabs
alzental,200 mg,f.c. tab.
alzental,20 mg/ml,susp.
alzepizil,10 mg,f.c. tab.
alzepizil,5 mg,f.c. tab.
alzimer,10 mg,f.c. tab.
alzimer,5 mg,f.c. tab.
alzixa,10 mg,f.c. tabs.
alzmenda,10 mg,f.c.tab
alzmenda,10 mg/gm,oral drops
alzmenda,20 mg,f.c.tabs
alzmenda,5 mg,f.c. tab
amadol,100 mg,s.r. tabs
amadol,100 mg/2 ml,amps.
amadol,50 mg,caps
amaglust,2/30 mg,scored tab
amaglust,4/30 mg,scored tab
aman plus,Null,intimate feminine wash
amantadine,100 mg,cap
amantine,100 mg,caps.
amaren hair,Null,serum
amaryl,1 mg,tab
amaryl,2 mg,tabs
amaryl,3 mg,tabs
