original_name,drug_name,dose,form
avene d-pigment light 30 ml,avene d-pigment light,30 ml,0
avene d-pigment rich 30 ml,avene d-pigment rich,30 ml,0
avene diacneeal 30/ml,avene diacneeal,30/ml,0
avene eluage cream 30 ml,avene eluage,30 ml,cream
avene eluage eye contour 15 ml,avene eluage eye contour,15 ml,0
avene extremely gentle cleanser 200ml,avene extremely gentle,200ml,cleanser
avene gentle purifying scrub 50 ml,avene gentle purifying,50 ml,scrub
avene gentle purifying scrub 75 ml,avene gentle purifying,75 ml,scrub
avene gentle toner 200 ml,avene gentle,200 ml,toner
avene high protection compact spf 50 beige (sable) 10 gm,avene high protection spf 50 beige (sable),10 gm,compact
avene high protection compact spf 50 honey 10 gm,avene high protection spf 50 honey,10 gm,compact
avene high protection mineral cream spf 50 - 50 ml,avene high protection mineral spf 50,50 ml,cream
avene hydrance optimale light spf20 40 ml,avene hydrance optimale light spf20,40 ml,0
avene hydrance optimale rich spf20 40 ml,avene hydrance optimale rich spf20,40 ml,0
avene micellar lotion cleanser and make-up remover 200ml,avene micellar cleanser and make-up remover,200ml,lotion
avene physiolift eyes 15ml,avene physiolift eyes,15ml,0
avene physiolift precision wrinkle filler 15ml,avene physiolift precision wrinkle filler,15ml,0
avene physiolift smoothing night balm 30ml,avene physiolift smoothing night,30ml,balm
avene skin recovery cream 40 ml,avene skin recovery,40 ml,cream
avene soothing eye contour cream 10 ml,avene soothing eye contour,10 ml,cream
avene thermal spring water 150 ml,avene thermal spring,150 ml,water
avene thermal spring water 300 ml,avene thermal spring,300 ml,water
avene tolerance extreme cream 50 ml,avene tolerance extreme,50 ml,cream
avene triacneal cream 30 ml,avene triacneal,30 ml,cream
avene triacneal expert emulsion 30 ml,avene triacneal expert,30 ml,emulsion
avene trixera nutri-fluid balm 200ml,avene trixera nutri-fluid,200ml,balm
avene trixera nutri-fluid cleanser 400ml,avene trixera nutri-fluid,400ml,cleanser
avene trixera nutri-fluid lotion 400ml,avene trixera nutri-fluid,400ml,lotion
avene trixera+ selectiose emollient balm 200ml,avene trixera+ selectiose emollient,200ml,balm
avene trixera+ selectiose emollient cleansing gel 400ml,avene trixera+ selectiose emollient cleansing,400ml,gel
avene trixera+ selectiose emollient cream 200ml,avene trixera+ selectiose emollient,200ml,cream
avene ultra rich cleansing soap 100 gm,avene ultra rich cleansing,100 gm,soap
avene xeracalm a.d cream 200ml,avene xeracalm a.d,200ml,cream
avene ystheal+ cream 30 ml,avene ystheal+,30 ml,cream
avene ystheal+ eye contour 15 ml,avene ystheal+ eye contour,15 ml,0
avento touch cream 50 gm,avento touch,50 gm,cream
averobios 642.9 mg/5 ml 60ml susp.,averobios,642.9 mg/5 ml,susp.
averobios 642.9mg/5 ml 75ml susp.,averobios,642.9mg/5 ml,susp.
averocal d syrup 120 ml,averocal d,120 ml,syrup
averocalcid syrup 100 ml,averocalcid,100 ml,syrup
averocoxib 90 mg 20 f.c. tabs.,averocoxib,90 mg,tabs.
averofage 15/500mg 30 f.c.tab,averofage,15/500mg,tab
averofage 15/850mg 30 f.c.tab.,averofage,15/850mg,tab.
averofectan 250mg/5ml susp. 60 ml,averofectan,250mg/5ml,susp.
averoferoz 30 cap,averoferoz,0,cap
averolosin 2 gm gr. 7 sachets,averolosin,2 gm,sachets
averomilan 50 mg 30 f.c. tabs.,averomilan,50 mg,tabs.
averopreg 100mg 15 caps.,averopreg,100mg,caps.
averopreg 100mg/5ml syrup 60 ml,averopreg,100mg/5ml,syrup
averopreg 50mg 20 caps.,averopreg,50mg,caps.
