original_name,drug_name,dose,form
marexal cream 50gm,marexal,50gm,cream
margena cream 100 gm,margena,100 gm,cream
margena cream 50 gm,margena,50 gm,cream
mariagon 140mg 30 caps.,mariagon,140mg,caps
mariez fruit 120ml syrup,mariez fruit,120ml,syrup
mariez fruit syrup 120 ml,mariez fruit,120 ml,syrup
marimer hypertonic nasal spray 100ml,marimer hypertonic,100ml,nasal spray
marimer isotonic nasal spray 100ml,marimer isotonic,100ml,nasal spray
marimer unidoses nasal drops 12*5ml,marimer unidoses,12*5ml,nasal drops
marinal 24 chew tabs,marinal,0,chew tabs
maringen collagen  marine  10 sachets,maringen collagen marine,0,sachets
marinosil 200 mg 30 caps.,marinosil,200 mg,caps
marivanil 1mg 50 tab.,marivanil,1mg,tab
marivanil 3mg 50 tab.,marivanil,3mg,tab
marivanil 5mg 50 tab.,marivanil,5mg,tab
marivo massage gel 50 gm,marivo massage,50 gm,gel
mark fast 30 capsules,mark fast,0,capsules
markadel 10 f.c. tabs.,markadel,0,tabs
markogine 10 sachets,markogine,0,sachets
markolive cream 50 gm,markolive,50 gm,cream
markyrene 0.5% vial injection 20 ml,markyrene,0.5%,vial injection
markyrene 1% vial 20 ml,markyrene,1%,vial
marleoce shampoo 150 ml,marleoce,150 ml,shampoo
marligum 20 chewing gummies omega 3,marligum omega 3,0,chewing gummies
marligum 30 chewing gummies omega 3,marligum omega 3,0,chewing gummies
marlo hair cream 100 gm,marlo hair,100 gm,cream
marnys artrohelp 60 caps.,marnys artrohelp,0,caps
marnys creamy honey with propolis 200 gm,marnys creamy honey with propolis,200 gm,0
marnys creamy honey with royal jelly 200 gm,marnys creamy honey with royal jelly,200 gm,0
marnys ferrobine complex syrup 125 ml,marnys ferrobine complex,125 ml,syrup
marnys ginseng 1000 mg with lecithin 30 caps.,marnys ginseng with lecithin,1000 mg,caps
marnys l-carnitine 2000mg 10 oral bottles 11 ml,marnys l-carnitine,2000mg,oral bottles
marnys neocarbon 30 caps.,marnys neocarbon,0,caps
marnys nobiletil 10 oral bottles 11 ml,marnys nobiletil,0,oral bottles
marnys omega 3 fish oil syrup 125 ml,marnys omega 3 fish oil,125 ml,syrup
marnys osteohelp complex syrup 125 ml,marnys osteohelp complex,125 ml,syrup
marnys propolis 1000 mg with echinacea 30 caps.,marnys propolis with echinacea,1000 mg,caps
marnys protect 10 oral bottles 10 ml,marnys protect,0,oral bottles
marnys protect syrup 125 ml,marnys protect,125 ml,syrup
marnys pure royal jelly 10 gm,marnys pure royal jelly,10 gm,0
marnys royal jelly 1000 mg with lecithin 30 caps.,marnys royal jelly with lecithin,1000 mg,caps
marnys royal provite 5000 - 10 oral bottles 11 ml,marnys royal provite 5000,0,oral bottles
marnys royal provite 5000 - 20 oral bottles 11 ml,marnys royal provite 5000,0,oral bottles
marocysteine 300mg 30 tablets,marocysteine,300mg,tablets
maroderm lotion 5 sachets,maroderm,0,lotion
marog 8 gm 10 sachets,marog,8 gm,sachets
marolet  antidandruff shampo,marolet antidandruff,0,shampo
marolet hair serum 60 ml,marolet hair,60 ml,serum
maronal 30 tab,maronal,0,tab
marostamine adult 30 caps,marostamine adult,0,caps
