original_name,drug_name,dose,form
virokan 200mg 6caps.,virokan,200mg,caps
virokan 400mg 12 caps.,virokan,400mg,caps
virolysis 50mg/5ml syrup 100ml,virolysis,50mg/5ml,syrup
virona vaginal cleanser 250 ml,virona vaginal,0,cleanser
virormone 200 mg 1 amp 10 ml,virormone,200mg,amp
virtual massage cream 50 gm,virtual massage,0,cream
viru-merz serol 1gm/100gm gel,viru-merz serol,1gm/100gm,gel
virustat 200mg 20 tab.,virustat,200mg,tab
virustat 200mg/5ml susp. 120 ml,virustat,200mg/5ml,susp.
virustat 400mg 35 tab.,virustat,400mg,tab
virustat 5% cream 5 gm,virustat,5%,cream
virustat 800mg 35 tab.,virustat,800mg,tab
visanne 2mg 28 tablets,visanne,2mg,tablets
viscal 5mg 10 tab.,viscal,5mg,tab
viscal 5mg 10 tab. (n/a),viscal,5mg,tab
viscera 10mg/5ml syrup 120ml,viscera,10mg/5ml,syrup
viscera 50mg 10 tab.,viscera,50mg,tab
viscera 5mg/2ml 3 amp.,viscera,5mg/2ml,amp
visceralgine 10mg/5ml syrup 120 ml,visceralgine,10mg/5ml,syrup
visceralgine 20mg 6 supp.,visceralgine,20mg,supp.
visceralgine 50mg 20 f.c. tab.,visceralgine,50mg,tab
visceralgine 5mg/2ml im iv 6 ampoules,visceralgine,5mg/2ml,ampoules
visceralgine 5mg/2ml iv im  3 ampoules,visceralgine,5mg/2ml,ampoules
viscoderm cream 30 ml,viscoderm,0,cream
viscoderm cream 30ml,viscoderm,0,cream
viscofree 100 mg cap.,viscofree,100mg,cap.
viscoplus 1% (20mg/2ml) intra-articular prefilled syringe,viscoplus,1% (20mg/2ml),prefilled syringe
viscoplus matrix 2.5% (75mg/3ml) intra-articular prefilled syringe,viscoplus matrix,2.5% (75mg/3ml),prefilled syringe
viscotears eye drops 15 ml,viscotears,0,eye drops
viscotears eye drops 15 ml (n/a),viscotears,0,eye drops
viscum fraxini 2 - 3 amp.,viscum fraxini,0,amp.
viscum fraxini 2 - 3 amps.,viscum fraxini,0,amps.
viscum fraxini 4 - 3 amp s.c.,viscum fraxini,0,amp
visicrome 4% eye drops 10 ml,visicrome,4%,eye drops
visine a.c. eye drops 15 ml,visine a.c.,0,eye drops
visine original 0.05% eye drops 15 ml,visine original,0.05%,eye drops
visipaque 270mg i/ml (100ml) vial (hospitals price),visipaque,270mg i/ml,vial
visipaque 270mg i/ml (50ml) vial (hospitals price),visipaque,270mg i/ml,vial
visipaque 320mg i/ml (100ml) vial,visipaque,320mg i/ml,vial
visipaque 320mg i/ml (20ml) vial,visipaque,320mg i/ml,vial
visipaque 320mg i/ml (50ml) vial,visipaque,320mg i/ml,vial
visoflux susp. 125ml,visoflux,0,susp.
visolerge ophthalmic solution 2.5 ml,visolerge,0,ophthalmic solution
visostin 0.5mg/ml eye drops 4 ml,visostin,0.5mg/ml,eye drops
visotrast 5amp,visotrast,0,amp
vistava 30 tabs,vistava,0,tabs
vit c (govita) 60 gummies,vit c (govita),0,gummies
vit c extra (govita) 60 gummies,vit c extra (govita),0,gummies
vit e (natural),vit e (natural),0,0
vit golden s.p wheat germ powder 250 gm,vit golden s.p wheat germ,0,powder
