original_name,drug_name,dose,form
idelox 0.5% eye drops 5 ml,idelox,0.5%,eye drops 5 ml
idelox 400 mg tab,idelox,400 mg,tab
idelox 400mg 10 f.c. tab.,idelox,400 mg,tab
ideos 30tab,ideos,0,tab
idiavix 75mg 10 f.c.tab,idiavix,75 mg,tab
idiavix 75mg 10 f.c.tab.,idiavix,75 mg,tab
idibact 200 mg 10 f.c.tab.,idibact,200 mg,tab
idibact 550 mg 20 tab,idibact,550 mg,tab
idiquin 200mg 5 f.c. tab.,idiquin,200 mg,tab
idiquin 200mg f.c.tab,idiquin,200 mg,tab
idiquin 400 mg tab,idiquin,400 mg,tab
idiquin 400mg 5 f.c. tab.,idiquin,400 mg,tab
idisartan 160 mg 21 f.c. tabs.,idisartan,160 mg,tabs
idisartan 320 mg 21 f.c. tabs.,idisartan,320 mg,tabs
idisartan 80mg 7 caps.,idisartan,80 mg,caps
idisartan plus 160/12.5 mg 21 f.c. tabs.,idisartan plus,160/12.5 mg,tabs
idisartan plus 320/12.5 mg 21 f.c. tabs.,idisartan plus,320/12.5 mg,tabs
idivomtron 4 mg 10 orally dis. tabs.,idivomtron,4 mg,orally dis. tabs
idivomtron 8 mg 10 orally dis. tabs.,idivomtron,8 mg,orally dis. tabs
idixor 37.5mg 7 tab.,idixor,37.5 mg,tab
idixor 75mg 7 tab.,idixor,75 mg,tab
idixor xr 150 mg 7 caps.,idixor xr,150 mg,caps
idixor xr 75 mg 7 caps.,idixor xr,75 mg,caps
idizole 20mg 7 enteric coated tab.,idizole,20 mg,enteric coated tab
idomaltol 30 mg 56 caps.,idomaltol,30 mg,caps
idulair 10 mg,idulair,10 mg,0
idulair 10mg 7 f.c.tab.,idulair,10 mg,tab
idulair 5 mg,idulair,5 mg,0
idulair 5mg 7 chewable tab.,idulair,5 mg,chewable tab
iduridine . 5% 5ml- t.solution,iduridine,0.5%,5ml t.solution
iduviran .10 ml- eye drops,iduviran,0.10 ml,eye drops
ifos 1 gm vial(n/a),ifos,1 gm,vial
ifos 1gm vial,ifos,1 gm,vial
iklen cream 50 ml,iklen,0,cream 50 ml
iksaront 2.5 mg 30 f.c. tablets,iksaront,2.5 mg,tablets
iksaront 5 mg 30 f.c. tabs.,iksaront,5 mg,tabs
ilia gel 60 gm,ilia,0,gel 60 gm
iliadin 0.025 % paed. nasal sol. 10 ml,iliadin,0.025 %,paed. nasal sol. 10 ml
iliadin 0.025% nasal solution,iliadin,0.025%,nasal solution
iliadin 0.05 % adult nasal solution 10 ml,iliadin,0.05 %,adult nasal solution 10 ml
iliadin 0.05 % adult nasal spray,iliadin,0.05 %,adult nasal spray
iliadin 0.05% spray 10 ml,iliadin,0.05%,spray 10 ml
iliadin-merck 0.05% nasal solution,iliadin-merck,0.05%,nasal solution
imap 2 mg 1amp 3 ml,imap,2 mg,amp
imatib 100 mg 10 caps.,imatib,100 mg,caps
imatinib evapharma 100mg 30 tabs,imatinib evapharma,100 mg,tabs
imatinib evapharma 400 mg 30 tabs,imatinib evapharma,400 mg,tabs
imatinib mylan 100 mg 60 f.c. tabs.,imatinib mylan,100 mg,tabs
imatinib mylan 400 mg 30 f.c. tabs.,imatinib mylan,400 mg,tabs
imbruvica 140 mg 120 caps.,imbruvica,140 mg,caps
