original_name,drug_name,dose,form
setronomet 8 mg 4 oral dis. tabs.,setronomet,8 mg,oral disintegrating tablets
sevelam 800 mg 15 f.c. tabs.,sevelam,800 mg,tablets
sevelto 10mg 10 sachets,sevelto,10mg,sachets
seven seas 120 cap,seven seas,0,capsules
seven seas 60 cap,seven seas,0,capsules
seven seas multi vitamin orange syrup,seven seas multi vitamin orange,0,syrup
seven seas multy vitamin syrup 150 ml,seven seas multy vitamin,0,syrup
seven seas one-a day 30cap,seven seas one-a day,0,capsules
seven seas orange 150ml syrup,seven seas orange,0,syrup
seven seas orange syrup 300 ml,seven seas orange,0,syrup
seven seas pure cod liver oil syrup 170ml,seven seas pure cod liver oil,0,syrup
seven seas tonic 300mg syrup,seven seas tonic,300mg,syrup
seven-sun cream spf 50+,seven-sun cream spf 50+,0,cream
sevoflurane 100% liquid for inhalation 250 ml,sevoflurane,100%,liquid for inhalation
sevoflurane baxter 100% liquid for inhalation 250 ml,sevoflurane baxter,100%,liquid for inhalation
sevoflurane sunny 100% liquid for inhalation 250 ml,sevoflurane sunny,100%,liquid for inhalation
sex forte for men 50 tab,sex forte,0,tablets
sfira hair lotion 120 ml,sfira hair,0,lotion
sfira moisturizing cream 60 gm,sfira moisturizing,0,cream
sfira whitening cream 50 gm,sfira whitening,0,cream
sfn-10 nail mycosis solution 3.3 ml,sfn-10 nail mycosis,0,solution
shaan body milk 300 ml,shaan body,0,milk
shaan facial cleanser 250 ml,shaan facial,0,cleanser
shaan hand cream 50 gm,shaan hand,0,cream
shaan intimate feminine cleanser 220 ml,shaan intimate feminine,0,cleanser
shaan lip balm 5 gm,shaan lip,0,balm
shaan nail care serum 4 ml,shaan nail care,0,serum
shaan rejuvenition cream 120 gm,shaan rejuvenition,0,cream
shaan soothing gel 120 gm,shaan soothing,0,gel
shaan soothing gel 200 gm,shaan soothing,0,gel
shaan soothing gel 60 gm,shaan soothing,0,gel
shaddock eye contour cream 120 gm,shaddock eye contour,0,cream
shaddock eye contour cream 20 gm,shaddock eye contour,0,cream
shade out cream 15 gm,shade out,0,cream
shado scare gel 30gm,shado scare,0,gel
shalgaten 100mg 20 caps.,shalgaten,100mg,capsules
shalgaten 300mg 20 capsules,shalgaten,300mg,capsules
shalgaten 300mg 30 caps.,shalgaten,300mg,capsules
shalgaten 400mg 20 capsules,shalgaten,400mg,capsules
shalgaten 400mg 30 caps.,shalgaten,400mg,capsules
sham 300mg 24 cap,sham,300mg,capsules
sham 300mg 24 caps.,sham,300mg,capsules
shamo hair serum 150 ml,shamo hair,0,serum
shamsomox 400 mg 10 f.c.tabs.,shamsomox,400 mg,tablets
shamsomox 400 mg 5 f.c. tabs,shamsomox,400 mg,tablets
shancita 100mg/ml 30 ml oral sol.,shancita,100mg/ml,oral solution
shancita 500mg/3ml 5 amp for iv/im inj.,shancita,500mg/3ml,ampoules for IV/IM injection
shark care 20 cap,shark care,0,capsules
shark cartilage 740mg 20 tab,shark cartilage,740mg,tablets
shark liver oil 1000mg 10 caps.,shark liver oil,1000mg,capsules
