original_name,drug_name,dose,form
citalomep 20mg 7 f.c.tab.,citalomep,20mg,tab
citamin plus 100 sachets,citamin plus,0,sachets
citamin plus 12 sachet,citamin plus,0,sachet
citapronex 10mg 14 f.c.tab.,citapronex,10mg,tab
citapronex 20mg 14 f.c. tabs.,citapronex,20mg,tabs
citapronex 5mg 14 f.c. tab,citapronex,5mg,tab
citicands 20 tabs,citicands,0,tabs
citicands 30 tabs,citicands,0,tabs
citicoline 500 mg 20 capsules,citicoline,500 mg,capsules
citomax powder 10 sachets,citomax powder,0,sachets
citovila 500 mg 20 capsules,citovila,500 mg,capsules
citra 20 lozenges,citra,0,lozenges
citra forte 2.4 gm gran. 280 gm,citra forte,2.4 gm,gran.
citrimax 20 capsules,citrimax,0,capsules
citrimax plus chromemate 20 cap,citrimax plus chromemate,0,cap
citrimax plus chromemate 500/100mg 30 cap,citrimax plus chromemate,500/100mg,cap
citrivol 1000 mg 30 tabs.,citrivol,1000 mg,tabs.
citro 10 sachets,citro,0,sachets
citro kal eff. granules,citro kal,0,eff. granules
citro-k 1.102g/5ml 120ml syrup,citro-k,1.102g/5ml,syrup
citrocid magnesium plus 12 eff. salt.,citrocid magnesium plus,0,eff. salt.
citrolin f gargale &mouth wash 120 ml,citrolin f,0,mouth wash
citrolin gargle &mouth wash 120 ml,citrolin,0,mouth wash
citropanthen cream 30 gm,citropanthen,0,cream
citysteam hair shampoo 200 ml,citysteam hair,0,shampoo
civirus 10 mg tabs.,civirus,10 mg,tabs.
cla 800 mg 90 softgels (now),cla,800 mg,softgels
clacito zinc syrup,clacito zinc,0,syrup
claforan 1 gm i.m/i.v. vial,claforan,1 gm,vial
claforan 250mg vial,claforan,250mg,vial
claforan 500mg i.m/i.v.vial,claforan,500mg,vial
clamero herbal drink 60ml syrup,clamero herbal drink,0,syrup
clara cream 60 gram,clara,0,cream
claribiotic 250mg 14 tab,claribiotic,250mg,tab
claribiotic 500mg 14 tab,claribiotic,500mg,tab
clarikan 250mg/5ml pd. for oral susp. 70 ml,clarikan,250mg/5ml,susp.
clarikan s.r. 500mg 14 f.c. tab.,clarikan s.r.,500mg,tab.
clarimond eye contour serum 30 ml,clarimond eye contour,0,serum
clarimond whitening cream 50 ml,clarimond whitening,0,cream
clarimond whitening facial wash 200 ml,clarimond whitening,0,facial wash
clarimond whitening night serum 50 ml,clarimond whitening night,0,serum
clarimycin 500 mg 14 f.c. tab.,clarimycin,500 mg,tab.
clarinase 14 repetabs.,clarinase,0,repetabs.
clarinotion xl 500 mg 14 f.c.tabs.,clarinotion xl,500 mg,tabs.
clariostrong 500mg s.r. 7 f.c.tab.,clariostrong s.r.,500mg,tab.
clarithro 250mg 14 f.c.tab,clarithro,250mg,tab
clarithro 500mg 14 f.c. tab,clarithro,500mg,tab
claritine 10mg 20 tab.,claritine,10mg,tab.
claritine 1mg/ml syrup 100ml,claritine,1mg/ml,syrup
clarivee 250 ml,clarivee,0,0
