original_name,drug_name,dose,form
betapronate 0.05% gel 20 gm,betapronate,0.05%,gel
betapronate plus cream 30 gm,betapronate plus,0,cream
betarose feminine wash 240ml,betarose feminine,0,wash
betarose vag douch 120 ml,betarose,0,vag douch
betasalic lotion 30 ml,betasalic,0,lotion
betasalic topical oint. 15 gm,betasalic,0,topical ointment
betaserc 16mg 60 tab,betaserc,16mg,tab
betaserc 24mg 40 tabs,betaserc,24mg,tabs
betaserc 8mg 100 tab,betaserc,8mg,tab
betasine 8 mg 10 tab,betasine,8 mg,tab
betasone 0.5mg 12 tab,betasone,0.5mg,tab
betasotal 80 mg 10 tablets,betasotal,80 mg,tablets
betathalmic 0.5% eye drops 10 ml,betathalmic,0.5%,eye drops
betathalmic 0.5% eye drops 5 ml,betathalmic,0.5%,eye drops
betatryps 20 tabs,betatryps,0,tabs
betaval 0.1% cream 20 gm,betaval,0.1%,cream
betaval 0.1% oint. 15 gm,betaval,0.1%,ointment
betaval-c cream 20 gm,betaval-c,0,cream
betaval-s oint. 15 gm,betaval-s,0,ointment
betaval-s oint. 20 gm,betaval-s,0,ointment
betavidone 1% mouth wash & gargle,betavidone,1%,mouth wash & gargle
betavidone 10% antiseptic topical oint.,betavidone,10%,antiseptic topical ointment
betavidone 10% topical antiseptic solution,betavidone,10%,topical antiseptic solution
betavidone 200mg 14 vag. pessaries,betavidone,200mg,vag. pessaries
betavidone 7.5% 100ml shampoo,betavidone,7.5%,shampoo
betavidone 7.5% 100ml surgical scrub,betavidone,7.5%,surgical scrub
betavidone 7.5% surgical scrub 200 ml,betavidone,7.5%,surgical scrub
betavit forte 24 cap,betavit forte,0,cap
betaxolol 10mg 30 tab.,betaxolol,10mg,tab
betaxolol 20mg 10 tab.,betaxolol,20mg,tab
betenvac 0.5% syrup 100ml,betenvac,0.5%,syrup
betmiga 25 mg 30 prolonged r. tablets,betmiga,25 mg,prolonged r. tablets
betmiga 50 mg 30 prolonged r.tablets,betmiga,50 mg,prolonged r. tablets
betnosal oint. 20 gm,betnosal,0,ointment
betnovate 0.1 % scalp application 30 ml,betnovate,0.1 %,scalp application
betnovate 0.1% top. oint. 15 gm,betnovate,0.1%,topical ointment
betnovate 0.1% topical cream 15 gm,betnovate,0.1%,topical cream
betnovate c cream 15 gm,betnovate c,0,cream
betnovate n cream 15 gm,betnovate n,0,cream
betnovate n ointment 15 gm,betnovate n,0,ointment
beto-12 1mg/ml 2 amp.,beto-12,1mg/ml,ampoule
betolvex 1mg/ml 2 amp,betolvex,1mg/ml,amp
betolvex 1mg/ml 2 pre-filled syringe i.m.,betolvex,1mg/ml,pre-filled syringe
betoma 5mg/ml eye drops 5 ml,betoma,5mg/ml,eye drops
betoptic 5mg/ml eye drops 5 ml,betoptic,5mg/ml,eye drops
betotacy calcium 10 sachets 10 gm,betotacy calcium,0,sachets
betoxol 5mg/ml eye drops,betoxol,5mg/ml,eye drops
bevato 30 tabs,bevato,0,tabs
bi pack reiferon - ribavirin 200 mg vail,reiferon - ribavirin,200 mg,vial
bi-alcofan 150 mg 30 tabs.,bi-alcofan,150 mg,tabs
