original_name,drug_name,dose,form
lipomax 20mg 10 f.c. tabs. (n/a),lipomax,20mg,tabs
lipomax 40 tab,lipomax,Null,tab
lipomax 40mg 10 f.c. tabs. (n/a),lipomax,40mg,tabs
lipomedizen 300mg 30 caps,lipomedizen,300mg,caps
lipona 10mg 10 tab.,lipona,10mg,tab
lipona 20mg 10 f.c.tab.,lipona,20mg,tab
lipona 40mg 10 f.c.tab.,lipona,40mg,tab
lipopent 600 mg 20 tabs,lipopent,600 mg,tabs
liporegistate 5mg 14 f.c. tabs.,liporegistate,5mg,tabs
liposedra 10 mg 30 f.c.tabs.,liposedra,10 mg,tabs
liposedra 20 mg 30 f.c.tabs.,liposedra,20 mg,tabs
liposis - v 40 tab,liposis - v,Null,tab
liposom-b complex 30 caps.,liposom-b complex,Null,caps
liposom-b12 1000 mcg 20 sublingual tabs.,liposom-b12,1000 mcg,sublingual tabs
liposom-c 500 mg 30 caps.,liposom-c,500 mg,caps
liposom-d3 10.000 i.u. 30 caps.,liposom-d3,10.000 i.u.,caps
liposomal iron 100 ml syurp,liposomal iron,Null,syurp
liposomal vit d3 drop 15 ml,liposomal vit d3,Null,drop
lipostabil forte 300mg  30 caps,lipostabil forte,300mg,caps
lipostat 20mg 10 tab.,lipostat,20mg,tab
lipostat 40mg 7 tab.,lipostat,40mg,tab
liposyn 10% 500 ml p- infusine,liposyn,10%,infusine
liposyn 20% 500ml p. inf,liposyn,20%,inf
lipovast 10mg 7 f.c.tab.,lipovast,10mg,tab
lipovast 20mg 7 f.c.tab.,lipovast,20mg,tab
lipovastatin 2 mg 30 tabs.,lipovastatin,2 mg,tabs
lipovastatin 4 mg 30 tabs.,lipovastatin,4 mg,tabs
lipovenoes 10 % sol 500 ml,lipovenoes,10 %,sol
lipovenoes 10% sol 100 ml,lipovenoes,10%,sol
lipovenoes 20% sol 500 ml,lipovenoes,20%,sol
lipovenous 10% plr i.v.infusion,lipovenous,10%,i.v.infusion
lipozone 10 cap,lipozone,Null,cap
lipozone 20 cap,lipozone,Null,cap
lipozone 20 soft cap,lipozone,Null,soft cap
lipra massage cream,lipra massage,Null,cream
liptitam xr 1000 mg 20 f.c. tabs.,liptitam xr,1000 mg,tabs
liptitam xr 500mg 20 f.c.tab.,liptitam xr,500mg,tab
liptitam xr 750 mg 20 f.c.tabs.,liptitam xr,750 mg,tabs
liptogrow plus 3 milk 400 gm,liptogrow plus 3,Null,milk
liptomil plus 1 milk 400 gm,liptomil plus 1,Null,milk
liptomil plus 2 milk 400 gm,liptomil plus 2,Null,milk
liptomil plus ar milk 400 gm,liptomil plus ar,Null,milk
liptomil plus ha milk 400 gm,liptomil plus ha,Null,milk
liptomil plus lf milk 350 gm,liptomil plus lf,Null,milk
liptomilk 1 400gm milk,liptomilk 1,Null,milk
liptomilk 1 milk 400 gm,liptomilk 1,Null,milk
liptomilk 1 milk from born to 6month,liptomilk 1,Null,milk
liptomilk 2,liptomilk 2,Null,Null
liptomilk 2 milk 400 gm,liptomilk 2,Null,milk
liptomilk 2 moh,liptomilk 2,Null,Null
