original_name,drug_name,dose,form
drinking powder 100 gm,drinking powder,100 gm,powder
drinking powder 200 gm,drinking powder,200 gm,powder
drive ( anablic) vial 10 ml,drive,10 ml,vial
dromage massage cream 75 gm,dromage massage cream,75 gm,cream
dronadex 400 mg 10 tabs.,dronadex,400 mg,tabs
dronalo 30 ml drops,dronalo,30 ml,drops
dropaviton oraldrops 15 ml,dropaviton,15 ml,oraldrops
dropegen 30 ml drops,dropegen,30 ml,drops
dropiflox otic drops 15 ml,dropiflox,15 ml,otic drops
dropiflox otic drops 7.5 ml,dropiflox,7.5 ml,otic drops
dropmas 100 gm gel,dropmas,100 gm,gel
dropota 10ml oral drops,dropota,10 ml,oral drops
drosming 3/0.03 mg 21 tabs,drosming,3/0.03 mg,tabs
drospadiol 0.03/3mg 21 f.c.tabs.,drospadiol,0.03/3mg,tabs
drospifem 0.03/3mg 21 tabs.,drospifem,0.03/3mg,tabs
drospinetta 4 mg 28 f.c.tabs.,drospinetta,4 mg,tabs
drotavex 200mg 36 caps.,drotavex,200 mg,caps
drotazide 12 cap,drotazide,0,cap
dry tropan 10mg mr 10 caps.,dry tropan,10 mg,caps
dry tropan 15mg mr 10 caps.,dry tropan,15 mg,caps
dry tropan 2.5mg/5ml elixir 120 ml,dry tropan,2.5mg/5ml,elixir
dry tropan 5mg mr 10 caps.,dry tropan,5 mg,caps
dubivamin 100 mcg amp,dubivamin,100 mcg,amp
ducarbofel 20 caps. jar,ducarbofel,0,caps
ducarbofel 30 caps.,ducarbofel,0,caps
ducray anaphase conditioner 200 ml,ducray anaphase conditioner,200 ml,conditioner
ducray anaphase shampoo 200 ml,ducray anaphase shampoo,200 ml,shampoo
ducray anastim concentrate ampoules 8*7.5ml,ducray anastim concentrate,7.5 ml,ampoules
ducray argeal hair shampoo 150ml,ducray argeal hair shampoo,150 ml,shampoo
ducray chronostim 2*50ml hair spray,ducray chronostim,50 ml,hair spray
ducray creastim 2*30ml hair spray,ducray creastim,30 ml,hair spray
ducray elution shampoo 300ml,ducray elution shampoo,300 ml,shampoo
ducray kelual ds cream 40 ml,ducray kelual ds cream,40 ml,cream
ducray kelual ds shampoo 100 ml,ducray kelual ds shampoo,100 ml,shampoo
ducray keracnyl control cream 30 ml,ducray keracnyl control cream,30 ml,cream
ducray keracnyl gel moussant (foaming gel) 200 ml,ducray keracnyl gel moussant,200 ml,gel
ducray keracnyl pp anti-blemish soothing cream 30 ml,ducray keracnyl pp anti-blemish soothing cream,30 ml,cream
ducray keracnyl repair cream 50 ml,ducray keracnyl repair cream,50 ml,cream
ducray kertyol pso cream 100 ml,ducray kertyol pso cream,100 ml,cream
ducray kertyol pso shampoo 125 ml,ducray kertyol pso shampoo,125 ml,shampoo
ducray melascreen intense depigmentting care 30ml,ducray melascreen intense depigmentting care,30 ml,0
ducray melascreen spf 15 eclat light cream 40ml,ducray melascreen spf 15 eclat light cream,40 ml,cream
ducray melascreen spf 15 eclat rich cream 40ml,ducray melascreen spf 15 eclat rich cream,40 ml,cream
ducray melascreen spf 50+ cream light 40ml,ducray melascreen spf 50+ cream light,40 ml,cream
ducray melascreen spf 50+ cream rich 40ml,ducray melascreen spf 50+ cream rich,40 ml,cream
ducray neoptide 3*30ml hair lotion,ducray neoptide,30 ml,hair lotion
ducray neoptide men hair lotion 100 ml,ducray neoptide men hair lotion,100 ml,hair lotion
ducray nutricerat emulsion 100 ml,ducray nutricerat emulsion,100 ml,emulsion
ducray nutricerat hair mask 150 ml,ducray nutricerat hair mask,150 ml,hair mask
ducray nutricerat shampoo 200ml,ducray nutricerat shampoo,200 ml,shampoo
