original_name,drug_name,dose,form
succinylcholine chloride 5 i.v. amp.,succinylcholine chloride,0,amp
sucra sweet 50 tab sugar,sucra sweet sugar,0,tab
sucralfate 1gm 30 tab,sucralfate,1gm,tab
sucrofilmpan 1gm/5ml oral susp. 120ml,sucrofilmpan,1gm/5ml,oral susp
sucrol 400 gm powder bottle,sucrol,400 gm,powder
sucrol 60 gm 20 packet,sucrol,60 gm,packet
sudkids cordoba 120 gm cream,sudkids cordoba,120 gm,cream
sudkids cordoba 240 gm cream,sudkids cordoba,240 gm,cream
sudocrem cream 125 gm,sudocrem,125 gm,cream
sudocrem cream 250 gm,sudocrem,250 gm,cream
sudocrem cream 60 gm,sudocrem,60 gm,cream
sudoflucet 20 tab.,sudoflucet,0,tab
sudophine 10mg/5ml syrup 120ml,sudophine,10mg/5ml,syrup
suez skin emollient cream 50 gm,suez skin emollient,50 gm,cream
suga less 1 gm*50 sachets,suga less,1 gm,sachets
sugammadex-sunny pharmaceutical 200mg/2ml 5 i.v. vial(net price),sugammadex-sunny pharmaceutical,200mg/2ml,vial
suganorm 15/500 mg 21 f.c. tabs.,suganorm,15/500 mg,tabs
suganorm 15/850 mg 21 f.c. tabs.,suganorm,15/850 mg,tabs
sugarfall 1mg 10 tabs,sugarfall,1mg,tabs
sugarfall 2mg 30 tabs,sugarfall,2mg,tabs
sugarfall 3mg 30 tabs,sugarfall,3mg,tabs
sugarlo 50mg 30 tabs.,sugarlo,50mg,tabs
sugarlo plus 50/1000mg 30 f.c. tabs,sugarlo plus,50/1000mg,tabs
sugarlo plus 50/500mg 30 f.c. tabs,sugarlo plus,50/500mg,tabs
sugarlo plus 50/850mg 30 f.c. tabs,sugarlo plus,50/850mg,tabs
suissette powder 100 gm,suissette,100 gm,powder
sukker diet 1 gm 10 sachets,sukker diet,1 gm,sachets
sukker diet 1 gm 30 sachets,sukker diet,1 gm,sachets
sukker diet 1 gm 48 sachets,sukker diet,1 gm,sachets
sukker diet powder 200 gm,sukker diet,200 gm,powder
sukker diet powder 400 gm,sukker diet,400 gm,powder
sukker stevia 2 gm 10 sachets,sukker stevia,2 gm,sachets
sukker stevia 2 gm 30 sachets,sukker stevia,2 gm,sachets
sukker stevia 2 gm 48 sachets,sukker stevia,2 gm,sachets
sukker stevia powder 200 gm,sukker stevia,200 gm,powder
sulbacef 1.5 gm (i.v/i.m) inj. vial,sulbacef,1.5 gm,inj vial
sulbin 1.5gm vial,sulbin,1.5gm,vial
sulbin 375mg vial,sulbin,375mg,vial
sulbin 750mg vial,sulbin,750mg,vial
sulcefozone 1.5 gm i.m. / i.v. vial,sulcefozone,1.5 gm,vial
sulco-fung 1% top. cream 15gm,sulco-fung,1%,top cream
sulfa boracyl sol 125 ml,sulfa boracyl,0,sol
sulfax (cmo formula) massage cream 120 gm,sulfax massage,120 gm,cream
sulfax (cmo formula) massage cream 60 gm,sulfax massage,60 gm,cream
sulfax cold spray 200 ml import,sulfax cold,0,spray
sulfax cold spray 200 ml local,sulfax cold,0,spray
sulfax cool & hot 1 sheets,sulfax cool & hot,0,sheets
sulfax icy menthol 1 sheets,sulfax icy menthol,0,sheets
sulfax joint 30 tabs.,sulfax joint,0,tabs
sulfax magnesium cream 120 gm,sulfax magnesium,120 gm,cream
