original_name,drug_name,dose,form
pantene oil replacement hammam,pantene oil replacement hammam,0,0
pantex forte hair tonic lotion for dry and normal hair 120 ml,pantex forte hair tonic,120 ml,lotion
pantex forte hair tonic lotion for greasy hair 120 ml,pantex forte hair tonic,120 ml,lotion
pantex hair cream 40 gm,pantex hair,40 gm,cream
pantex hair shampoo 120 ml,pantex hair,120 ml,shampoo
pantex hair tonic lotion for dry hair,pantex hair tonic,0,lotion
pantex hair tonic lotion for greasy hair,pantex hair tonic,0,lotion
panthenol 2% hair lotion 100 ml,panthenol hair,2%,lotion
panthenol 2% hair lotion 190 ml,panthenol hair,2%,lotion
panthenol 2% topical cream 15 gm,panthenol topical,2%,cream
panthenol 2% topical cream 20 gm,panthenol topical,2%,cream
panthenol 2% topical cream 50 gm,panthenol topical,2%,cream
panthenol 5% topical gel 20 gm,panthenol topical,5%,gel
panthenol 5% topical gel 80 gm,panthenol topical,5%,gel
panthenol 500mg/2ml amp.,panthenol,500mg/2ml,amp.
panthenol cream 20 gm,panthenol,20 gm,cream
panthenol hair shampoo 215ml,panthenol hair,215ml,shampoo
panthenol macro cream 50 gm,panthenol macro,50 gm,cream
panthenol macro lotion 5% 100 ml,panthenol macro,5%,lotion
panthenol novex cream 30 gm,panthenol novex,30 gm,cream
panthenol novex cream 50 gm,panthenol novex,50 gm,cream
panthenol novex plus cream 30 gm,panthenol novex plus,30 gm,cream
panthenol panax cream 20 gm,panthenol panax,20 gm,cream
panthenol panax cream 50 gm,panthenol panax,50 gm,cream
panthenol prove 5% topicalcream 30 gm,panthenol prove topical,5%,cream
panthenose nasal spray with escin 20 ml,panthenose nasal with escin,20 ml,spray
panthenose nasal spray with eucalyptus 20 ml,panthenose nasal with eucalyptus,20 ml,spray
pantho eva 15g emulgel,pantho eva,15g,emulgel
pantho eva 5% emulgel 15 gm,pantho eva,5%,emulgel
pantho eva 7.5% topical sol. 50 ml,pantho eva topical,7.5%,sol.
panthoeva lotion,panthoeva,0,lotion
panthoeva lotion 50 ml,panthoeva,50 ml,lotion
panthovera hair lotion spray 110 ml,panthovera hair,110 ml,lotion spray
panthovera hair shampoo 250 ml,panthovera hair,250 ml,shampoo
panthozin cream 30 gm,panthozin,30 gm,cream
panthozin topical loton 60 ml,panthozin topical,60 ml,lotion
panthydex cream 20 gm,panthydex,20 gm,cream
panthydex cream 40 gm,panthydex,40 gm,cream
pantirich - anti wrinkle cream 50 gm,pantirich - anti wrinkle,50 gm,cream
pantogar 90 caps,pantogar,90 caps,caps
pantoloc 20mg 14 e.c. tab.,pantoloc,20mg,tab.
pantoloc 40mg 14 tab,pantoloc,40mg,tab
pantoloc 40mg powder for i.v. inf. vial,pantoloc,40mg,powder for i.v. inf. vial
pantomedra 20 mg 28 e.c. tabs.,pantomedra,20 mg,tabs.
pantomedra 40 mg 28 e.c. tabs.,pantomedra,40 mg,tabs.
pantomerican 20 mg 14 f.c. tabs.,pantomerican,20 mg,tabs.
pantomerican 40 mg 14 f.c. tabs.,pantomerican,40 mg,tabs.
pantomix topical cream 50 gm,pantomix topical,50 gm,cream
pantomix topical lotion 120 ml,pantomix topical,120 ml,lotion
pantonap 20 mg 20 tabs,pantonap,20 mg,tabs
