original_name,drug_name,dose,form
tadaraxia 20 mg 2 f.c. tabs.,tadaraxia,20 mg,tabs
tadaraxia 5 mg 30 tabs.,tadaraxia,5 mg,tabs
tadatrona 20 mg 2 f.c. tabs.,tadatrona,20 mg,tabs
tadatrona 20 mg 4 f.c. tabs.,tadatrona,20 mg,tabs
tadatrona 5 mg 21 f.c. tabs.,tadatrona,5 mg,tabs
tadenan 50mg 20 cap,tadenan,50 mg,cap
tadinurp 5mg syrup 120 ml,tadinurp,5 mg,syrup
taflupro 15 mcg/ml eye drops 30*0.3ml sdu,taflupro,15 mcg/ml,eye drops
taflupro plus eye drops 30*0.3ml sdu,taflupro plus,0,eye drops
tag gel 40 gm,tag,40 gm,gel
tagomiga 10 gm 10 sachets,tagomiga,10 gm,sachets
tagrisso 40 mg 30 f.c. tabs,tagrisso,40 mg,tabs
tagrisso 80 mg 30 f.c. tabs,tagrisso,80 mg,tabs
taka diastase. 120 ml. liquid,taka diastase,0,liquid
takipril 100mg/5ml intrathecal inj. 1 amp.,takipril,100 mg/5ml,intrathecal inj
tala 100 mg 10 sachets,tala,100 mg,sachets
tala 100 mg 15 sachets,tala,100 mg,sachets
tala oil drops 10ml,tala oil,0,drops
talantoline 100mg/ml oral solution 30 ml,talantoline,100 mg/ml,oral solution
talavi 10 sachets,talavi,0,sachets
taleen shampoo 250 ml,taleen,0,shampoo
talicta 10 sachets,talicta,0,sachets
talinorose 250 ml intimate feminine wash,talinorose,0,intimate feminine wash
talito  10 sachets,talito,0,sachets
talito zinc 30 capsules,talito zinc,0,capsules
talopram 40mg 10 f.c. tab.,talopram,40 mg,tab
talopram 40mg 30 f.c. tab.,talopram,40 mg,tab
taloscito 20 mg 30 scored f.c. tabs.,taloscito,20 mg,tabs
taltz 80mg/ml s.c. inj.,taltz,80 mg/ml,s.c. inj
talzenna 0.25 mg 30 caps.,talzenna,0.25 mg,caps
talzenna 1 mg 30 caps.,talzenna,1 mg,caps
tamaran 20 cap,tamaran,0,cap
tambocor 10mg 5 amp,tambocor,10 mg,amp
tamic 0.4mg m.r 10 cap.,tamic,0.4 mg,cap
tamiflu 12 mg/ml pd. for oral susp.(n/a),tamiflu,12 mg/ml,oral susp
tamiflu 75mg 10caps.,tamiflu,75 mg,caps
tamilavir 75mg 10 caps.,tamilavir,75 mg,caps
taminil-n 12mg/ml susp. 30 ml,taminil-n,12 mg/ml,susp
taminil-n 12mg/ml susp. 60 ml,taminil-n,12 mg/ml,susp
taminil-n 75 mg 10 caps.,taminil-n,75 mg,caps
taminorig 2mcg/ml oral drops. 10 ml,taminorig,2 mcg/ml,oral drops
tamiton 20 tabs.,tamiton,0,tabs
tamofen 10mg 30 tab,tamofen,10 mg,tab
tamol 100mg/ml oral drops 10 ml,tamol,100 mg/ml,oral drops
tamol 200mg 10 tab.,tamol,200 mg,tab
tamoxifen 10mg 30 tablets,tamoxifen,10 mg,tablets
tamoxifen 20mg 20 tab.,tamoxifen,20 mg,tab
tamoxifen 40mg 20 tab.,tamoxifen,40 mg,tab
tamoxifen-acdima 10mg 30 tab,tamoxifen-acdima,10 mg,tab
tamoxifen-ebewe 20mg 30 tab.,tamoxifen-ebewe,20 mg,tab
