original_name,drug_name,dose,form
levemir 100 i.u./ml 5 flexpen,LEVEMIR,100 i.u./ml,flexpen
levemir 100 i.u./ml penfill 5 cartridges (n/a),LEVEMIR,100 i.u./ml,penfill cartridges
levepex 1000 mg 30 f.c. tab.,LEVEPEX,1000 mg,tab
levepex 100mg/ml syrup 100ml,LEVEPEX,100mg/ml,syrup
levepex 500mg 30 f.c. tab.,LEVEPEX,500mg,tab
levepex 750mg 30 f.c. tab,LEVEPEX,750mg,tab
levepsy 100mg/ml syrup 120 ml,LEVEPSY,100mg/ml,syrup
levepsy 500 mg 10 scored f.c. tab,LEVEPSY,500 mg,tab
levepsy 500 mg 10 tab,LEVEPSY,500 mg,tab
levitra 20 mg 4 f.c. tab.,LEVITRA,20 mg,tab
levocar 100/25mg 10 tab,LEVOCAR,100/25mg,tab
levocar 250/25 mg 30 tab,LEVOCAR,250/25 mg,tab
levocar 50/200mg cr 10 tab,LEVOCAR,50/200mg,cr tab
levocarnine 10gm/100ml oral sol. 120 ml,LEVOCARNINE,10gm/100ml,oral sol.
levocarnine 500mg 20 tab,LEVOCARNINE,500mg,tab
levocitrone 5 mg 10 f.c. tab.,LEVOCITRONE,5 mg,tab
levocol 250 mg- 12 cap,LEVOCOL,250 mg,cap
levocol nasr 250mg 12caps.,LEVOCOL NASR,250mg,caps
levoctivan 0.5mg/ml syrup 120 ml,LEVOCTIVAN,0.5mg/ml,syrup
levoctivan 5mg 30 f.c. tab.,LEVOCTIVAN,5mg,tab
levodel 250mg 5 f.c. tabs.,LEVODEL,250mg,tabs
levodel 500mg 5 f.c. tabs.,LEVODEL,500mg,tabs
levodel 750mg 5 f.c. tabs.,LEVODEL,750mg,tabs
levoflotanet 750mg/30ml concentrate vial for i.v. inf.,LEVOFLOTANET,750mg/30ml,concentrate vial
levoflox 250 mg 5 f.c.tabs.,LEVOFLOX,250 mg,tabs
levoflox 250mg 5tab,LEVOFLOX,250mg,tab
levoflox 500  mg 5 tab,LEVOFLOX,500 mg,tab
levoflox 500 mg 5 f.c.tabs.,LEVOFLOX,500 mg,tabs
levoflox 500mg 1 vial,LEVOFLOX,500mg,vial
levoflox 500mg vial for i.v. inf.,LEVOFLOX,500mg,vial
levofloxacin 750 mg 5 f.c.tabs.,LEVOFLOXACIN,750 mg,tabs
levofloxacin-eva 500 mg 10 f.c.tabs.,LEVOFLOXACIN EVA,500 mg,tabs
levofoxat 500 mg 5 tabs,LEVOFOXAT,500 mg,tabs
levohistam 5 mg 30 f.c.tabs.,LEVOHISTAM,5 mg,tabs
levohistam 5mg/10 ml syrup 120ml,LEVOHISTAM,5mg/10 ml,syrup
levohistam 5mg/ml oral drops 10 ml,LEVOHISTAM,5mg/ml,oral drops
levohistam 5mg/ml oral drops 20 ml,LEVOHISTAM,5mg/ml,oral drops
levomagictam 500 mg 5 f.c.tab.,LEVOMAGICTAM,500 mg,tab
levomagictam 500 mg 5 tab,LEVOMAGICTAM,500 mg,tab
levonandix 0.03mg 35 f.c.tabs.,LEVONANDIX,0.03mg,tabs
levophed 4mg 6 amp,LEVOPHED,4mg,amp
levophrine 4mg/4ml i.v 5 amp.,LEVOPHRINE,4mg/4ml,amp
levopride 30 tabs,LEVOPRIDE,0,tabs
levoseas 60ml syrup,LEVOSEAS,0,syrup
levotavin 500 mg 7 f.c.tabs.,LEVOTAVIN,500 mg,tabs
levotavin 750 mg 7 f.c.tabs.,LEVOTAVIN,750 mg,tabs
levoxin 250 mg 5 f.c.tabs.,LEVOXIN,250 mg,tabs
levoxin 500mg 5 f.c. tab.,LEVOXIN,500mg,tab
levoxin 500mg vial 100 ml,LEVOXIN,500mg,vial
levoxin 5mg ophth. drops 5 ml,LEVOXIN,5mg,ophth. drops
