original_name,drug_name,dose,form
pantonap 40 mg 20 tabs.,pantonap,40 mg,tabs
pantopi 20mg 20 enteric coated tabs.,pantopi,20mg,enteric coated tabs
pantopi 40mg 14 tab,pantopi,40mg,tab
pantoprazole 40mg 14 tab.,pantoprazole,40mg,tab
panvirin 200 mg 10 cap,panvirin,200 mg,cap
panvirin 200mg 10 caps.,panvirin,200mg,caps
panvirin 400mg 10 cap,panvirin,400mg,cap
panvirin 400mg 10 h.g.caps.,panvirin,400mg,h.g.caps
panzeone 50 gm cream,panzeone,50 gm,cream
papaphyl cream 20 gm,papaphyl,20 gm,cream
papaphyl cream 20/gm,papaphyl,20/gm,cream
para lice aerosol 145 ml,para lice,145 ml,aerosol
para-xenos plus eff.gran. 5 sachets,para-xenos plus,0,eff.gran.
paracalcet 30 mg 30 f.c. tab.,paracalcet,30 mg,tab
paracalcet 60 mg 10 f.c. tab.,paracalcet,60 mg,tab
paracetagen 1 gm/100ml vial for i.v. inf.,paracetagen,1 gm/100ml,vial
paracetamol 500mg 20 tab,paracetamol,500mg,tab
paracetamol 500mg 20 tab. b.p.80 pharco (n/a),paracetamol,500mg,tab
paracetamol-adco 1 gm 20 tabs.,paracetamol-adco,1 gm,tabs
paracetamol-adco 500 mg 20 tab.,paracetamol-adco,500 mg,tab
paracetamol-adco1 gm 20 tab.,paracetamol-adco,1 gm,tab
paracetamol-adwic 500 mg 20 tab.,paracetamol-adwic,500 mg,tab
paracetamol-amriya 120mg/5ml 120ml susp.,paracetamol-amriya,120mg/5ml,susp.
paracetamol-cid 500mg 20 tab,paracetamol-cid,500mg,tab
paracetamol-mup 500mg b.p. 20 tab.,paracetamol-mup,500mg,tab
paracetamol-pharco b 1% soln. i.v. inf. 100 ml,paracetamol-pharco b,1%,soln.
paracetamol-pharco b 1% soln. i.v. inf. 50 ml (n/a),paracetamol-pharco b,1%,soln.
paracpimol 1 gm/100ml vial for i.v. inf.,paracpimol,1 gm/100ml,vial
paraffin gauze dressing,paraffin gauze,0,dressing
paraffin oil 100 ml,paraffin oil,100 ml,0
paraffin oil 250 ml,paraffin oil,250 ml,0
paraffin oil pure,paraffin oil pure,0,0
paraffin oil pure 2 liter,paraffin oil pure,2 liter,0
paraffin oil pure 60 ml,paraffin oil pure,60 ml,0
parafon 18cap,parafon,0,cap
parafon 250/300 18 caps.,parafon,250/300mg,caps
paragesic 100mg/ml oral drops 15ml,paragesic,100mg/ml,oral drops
paragesic 250mg/5ml oral susp. 120 ml (n/a yet),paragesic,250mg/5ml,oral susp.
paragesic 500 mg 20 tabs.,paragesic,500 mg,tabs
paragesic 500 mg 5 rectal supp.,paragesic,500 mg,rectal supp.
paragesic baby 120mg/5ml 120ml susp.,paragesic baby,120mg/5ml,susp.
paragesic migraine 5/500mg 6 sachets,paragesic migraine,5/500mg,sachets
paralex 125 mg 5 rectal pediatric supp.,paralex,125 mg,rectal pediatric supp.
paralex plus 12 tab.,paralex plus,0,tab
paramibe compound 20 tab.,paramibe compound,0,tab
paramol 1000 mg 20 tabs.,paramol,1000 mg,tabs
paramol 120mg/5ml syrup 125 ml,paramol,120mg/5ml,syrup
paramol 125mg 5 paediatric supp.,paramol,125mg,paediatric supp.
paramol 500mg 20 tab.,paramol,500mg,tab
paramol plus 20 tabs.,paramol plus,0,tabs
