original_name,drug_name,dose,form
smart 10 cap,smart,0,cap
smart cough 120 ml syrup,smart cough,120 ml,syrup
smart natural 20 cap,smart natural,0,cap
smart sweet 100 tab,smart sweet,0,tab
smartan 10mg 10tab,smartan,10mg,tab
smartod d 15 ml oral drops,smartod d,15 ml,oral drops
smartod for kids 30 ml oral drops,smartod,30 ml,oral drops
smasolo 120 ml syrup,smasolo,120 ml,syrup
smaxon 35gm whitening cream,smaxon whitening,35gm,cream
smecta 20% suspension 120 ml,smecta,20%,suspension
smecta 20% suspension 60 ml,smecta,20%,suspension
smecta 20% suspension 90 ml,smecta,20%,suspension
smecta 3gm 10 sachet,smecta,3gm,sachet
smile baby cream,smile baby,0,cream
smile baby cream 60 gm,smile baby,60 gm,cream
smile lotion 120 ml,smile,120 ml,lotion
smile lotion 120ml,smile,120ml,lotion
smile lozenges,smile,0,lozenges
smofkabiven peripheral (1300kcal) emulsion for infusion,smofkabiven peripheral,1300kcal,emulsion
smofkabiven peripheral (800kcal) emulsion for infusion,smofkabiven peripheral,800kcal,emulsion
smoflipid 20% emulsion 100ml i.v. inf.,smoflipid,20%,emulsion
smoflipid 20% emulsion 250ml i.v. inf.,smoflipid,20%,emulsion
smoflipid 20% emulsion 500ml i.v. inf.,smoflipid,20%,emulsion
smooth face soap 100 gm,smooth face,100 gm,soap
smooth( s5) hair styling cream 350 gm,smooth( s5) hair styling,350 gm,cream
smoothderm cream 60 gm,smoothderm,60 gm,cream
smoothie lotion 75 ml,smoothie,75 ml,lotion
smoothie s1 barley milk shampoo,smoothie s1 barley milk,0,shampoo
smoothie s3 instantcondetianer 250 ml,smoothie s3,250 ml,instantcondetianer
smoothie s4 apricot milk cream,smoothie s4 apricot milk,0,cream
smos 25 gm gel,smos,25 gm,gel
snaffle baby cream,snaffle baby,0,cream
snafi 20 mg 2 f.c.tab,snafi,20 mg,tab
snapgab 150 mg 30 caps.,snapgab,150 mg,caps
snapgab 300 mg 30 caps.,snapgab,300 mg,caps
snapgab 75 mg 30 caps.,snapgab,75 mg,caps
snello 5 gm 12 sachets,snello,5 gm,sachets
snello plus 7 gm 10 sachets,snello plus,7 gm,sachets
sniffacan 50mcg/g nasal spray 15 ml,sniffacan,50mcg/g,nasal spray
snomatica 20 capsules,snomatica,0,capsules
snor enz oral spray 30 ml,snor enz,30 ml,oral spray
snor enz spray,snor enz,0,spray
snor no more nasal spray 10 ml,snor no more,10 ml,nasal spray
snore no more 30 ml spray,snore no more,30 ml,spray
snow white cream bar 100 gm,snow white,100 gm,cream bar
snowliva 30 tabs,snowliva,0,tabs
snuffle babe vapour rub 24 gm,snuffle babe vapour,24 gm,rub
so life nasal spray 30ml,so life,30ml,nasal spray
sob-oxidant 300mg 30tab,sob-oxidant,300mg,tab
sobek max 50gm cream,sobek max,50gm,cream
