original_name,drug_name,dose,form
uara-magic skin serum 60 ml,uara-magic,60 ml,serum
ubm immune 375mg 30 caps,ubm immune,375mg,caps
ubretid 0.5mg/ml 5 i.m. amp.,ubretid,0.5mg/ml,amp.
ubretid 5 mg 20 tab.,ubretid,5 mg,tab.
ucc madin solution 120 ml,ucc madin,120 ml,solution
ucc madin solution 60 ml,ucc madin,60 ml,solution
uci fresh 7 ml,uci fresh,0,0
udexpan 500mg 10 f.c. tab.,udexpan,500mg,tab.
udexpan 500mg 10 tab,udexpan,500mg,tab
uft 28 capsules,uft,0,capsules
ug care 150ml skin cleansing solution,ug care,150ml,solution
uhans 20 tabs,uhans,0,tabs
ulcercure 14 tab,ulcercure,0,tab
ulcerostate 10mg 14 enteric coated tab.,ulcerostate,10mg,tab.
ulcetech 40mg 20 f.c.tab.,ulcetech,40mg,tab.
ulcezole 30mg 20 del. rel. capsules,ulcezole,30mg,capsules
ulcezole 60mg 20 del. rel. capsules,ulcezole,60mg,capsules
ulcfree 150mg 20 caps.,ulcfree,150mg,caps.
ulcicure 1gm-30 tab,ulcicure,1gm,tab
ulfamid 20 mg 20 tab,ulfamid,20 mg,tab
ulfamid 40 mg 10 tab,ulfamid,40 mg,tab
ulsorest 100mg 30 f.c. tab.,ulsorest,100mg,tab.
ulstop 20mg 14 caps.,ulstop,20mg,caps.
ultexiv .5mg eye. oint,ultexiv,.5mg,oint
ultibro breezhaler 110/50 mcg 30 inh. caps. + inhaler,ultibro breezhaler,110/50 mcg,inh. caps.
ultimate cal 20 cap,ultimate cal,0,cap
ultimax 20 filter tea bags,ultimax,0,filter tea bags
ultiva 1mg i.v. vial,ultiva,1mg,vial
ultiva 2mg i.v. vial,ultiva,2mg,vial
ultiva 5mg i.v. vial,ultiva,5mg,vial
ultra cal 20 tab,ultra cal,0,tab
ultra eye 20 tab,ultra eye,0,tab
ultra fair cream 15 gm,ultra fair,15 gm,cream
ultra fair cream 30 gm,ultra fair,30 gm,cream
ultra fair cream 50 gm,ultra fair,50 gm,cream
ultra fair eye contour gel 15 gm,ultra fair eye contour,15 gm,gel
ultra fair facial wash 250 ml,ultra fair,250 ml,wash
ultra fair soap 75 gm,ultra fair,75 gm,soap
ultra feet cream 50 gm,ultra feet,50 gm,cream
ultra fiber 150 tab,ultra fiber,0,tab
ultra hair 20 tab,ultra hair,0,tab
ultra light salt 100g,ultra light salt,100g,0
ultra light salt 150 gm,ultra light salt,150 gm,0
ultra mega women*s 180mg tab,ultra mega women*s,180mg,tab
ultra meladinine drops 30 ml,ultra meladinine,30 ml,drops
ultra mix 60 gm cream,ultra mix,60 gm,cream
ultra mix rich cream 120gm,ultra mix rich,120gm,cream
ultra mix rich facial cleanser 200 ml,ultra mix rich,200 ml,cleanser
ultra omega-3 (now) 90 caps.,ultra omega-3 (now),0,caps.
ultra pan cream 50 gm,ultra pan,50 gm,cream
