original_name,drug_name,dose,form
opikast 4 mg 14 chew. tabs.,opikast,4 mg,chewable tablets
opikast 4 mg 21 chew. tabs,opinidazole,1000mg,tablet
opikast 4 mg 21 chew. tabs.,opiraline,100mg,tablet
opinidazole 1000mg 8 f.c.tab.,opiraline,50 mg,tablets
opiraline 100mg 10 f.c.tab.,oplex n plus,0,suppository
opiraline 50 mg 20 f.c. tabs.,oplex-n,125ml,syrup
oplex n plus 10 supp.,oponov,0,tablets
oplex-n syrup 125ml,opranate,20/1100mg,capsules
oponov 20 tablets,opranate,20/1680mg,powder for oral suspension
opranate 20/1100mg 10 caps.,opranate,40/1100mg,capsules
opranate 20/1680mg pd. for oral susp. 5 sachet,opranate,40/1680mg,powder for oral suspension
opranate 40/1100mg 10 caps.,oprasta,5mg/100ml,solution for infusion
opranate 40/1680mg pd. for oral susp. 5 sachet,opsumit,10 mg,tablets
oprasta 5mg/100ml soln. for inf. 100 ml,opta tribxon,0,capsule
opsumit 10 mg 30 f.c.tabs.,optacado,0,capsule
opta tribxon 30 cap,optaderol,30 ml,oral drop
optacado 30 cap,optaderol plus,0,capsule
optaderol 30 ml oral drop,optalidon,0,tablet
optaderol plus 30 cap,optaminess,0,tablets
optalidon 100 tab,optaminess,0,tablets
optaminess 100 tabs.,optaminess,0,tablets
optaminess 150 f.c. tabs.,optest,0.05%,eye drops
optaminess 200 tabs.,opti coughpan,100 ml,syrup
optest 0.05% eye dps. 5 ml,opti-free express,120 ml,contact lens solution
opti coughpan syrup 100 ml,opti-free express,355 ml,contact lens solution
opti-free express cont. lens solution 120 ml,opti-free puremoist,300 ml,contact lens solution
opti-free express cont. lens solution 355 ml,opti-free puremoist,90 ml,contact lens solution
opti-free puremoist cont. lens solution 300 ml,opti-men multivitamin,0,tablets
opti-free puremoist cont. lens solution 90 ml,opti-milk,0,bites
opti-men multivitamin 240 tablets,opti-women multivitamin,0,capsules
opti-milk 30 bites vanilla flavor,optiba,0,sachet
opti-women multivitamin 120 caps.,optic saline,5%,eye drops
optiba 10 sachets,optic saline,5%,eye drops
optic saline 5% eye drops 15 ml,optical comp,0,effervescent tablets
optic saline 5% eye drops 5 ml,optical eff,0,effervescent tablets
optical comp 12 eff tab,optichrom,4%,eye drops
optical eff 12 tab,optichrom,13.5 ml,eye drops
optichrom 4% eye drops 10 ml,opticoughpan,120 ml,syrup
optichrom eye drops 13.5 ml,opticure,2%,eye drops
opticoughpan syrup 120 ml,optidex -t,0,eye drops
opticure 2% eye drops 10 ml,optiflox,0.3%,eye drops
optidex -t eye drops 5 ml,optiform chocolate,450 gm,granules
optiflox 0.3% eye drops 5 ml,optiform strawberry,450 gm,granules
optiform chocolate 450 gm,optiform vanilia,450 gm,granules
optiform strawberry 450 gm,optifresh,10 ml,eye drops
optiform vanilia 450 gm,optifucin,1%,viscous eye drops
optifresh eye drops 10 ml,optigent,0.3%,eye/ear drops
optifucin 1% viscous eye drops 5 gm,optigent,0.3%,ointment
