original_name,drug_name,dose,form
shark liver oil 500 mg 20 caps.,shark liver oil,500 mg,caps
sharka  10 sachet,sharka,0,sachet
sharkilage 30 caps.,sharkilage,0,caps
sharkilage plus 30 caps.,sharkilage,0,caps
shatbiotic 400 mg 10 caps.,shatbiotic,400 mg,caps
shatbiotic 90mg/5ml pd for oral susp. 60 ml,shatbiotic,90mg/5ml,oral susp
shatoo 50/200mg 7 c.r. f.c. tabs.,shatoo,50/200mg,tabs
shave code gel 300ml all types,shave code,300ml,gel
shefa tone 20 cap,shefa tone,0,cap
shefa tone eff 12 sach,shefa tone,0,sach
shelter sun screen aqua fluid 60 ml,shelter sun screen,60 ml,aqua fluid
sherimaint soln for i.v. inf. 250 ml,sherimaint,250 ml,soln for i.v. inf
sheva intimate feminine wash,sheva intimate feminine,0,wash
shield omega 3 - 60 pieces,shield omega 3,0,pieces
shiny 10 sachets,shiny,0,sachets
shire 25 gummies,shire,0,gummies
shire 50 gummies,shire,0,gummies
shoma cream 60 gm,shoma,60 gm,cream
shorsalin 150 mg 30 f.c. tabs.,shorsalin,150 mg,tabs
shorsalin 300mg 30 f.c.tab,shorsalin,300mg,tab
shorsalin 600 mg 30 f.c. tabs.,shorsalin,600 mg,tabs
show zone 10cap,show zone,0,cap
sibelium 5mg 18 caps,sibelium,5mg,caps
sibella fortified liquid chocolate,sibella,0,liquid chocolate
siberian ginseng 500mg for energy 30 tab,siberian ginseng,500mg,tab
siboline hair shampoo 60 ml,siboline hair,60 ml,shampoo
sibotrim 15mg 30 cap,sibotrim,15mg,cap
sicorten 0.05% 10 gm cream,sicorten,0.05%,cream
sicorten plus 10 gm cream,sicorten,10 gm,cream
sideral active 15 orodispersible sticks,sideral,0,orodispersible sticks
sideral active 20 capsules,sideral,0,capsules
sideral bimbi 10 orodispersible sticks,sideral,0,orodispersible sticks
sideral folic 20 capsules,sideral,0,capsules
sideral folic 20 orodispersible sticks,sideral,0,orodispersible sticks
sideral forte 30 caps,sideral,0,caps
sienta shampoo 100 ml,sienta,100 ml,shampoo
sienta shampoo 200 ml,sienta,200 ml,shampoo
siera intensive hair growth serum,siera hair growth,0,serum
siera intensive hair growth serum 6,siera hair growth,0,serum
siera scalp soothing anti dandruff shampoo,siera scalp soothing anti dandruff,0,shampoo
siesta 10mg 14 caps.,siesta,10mg,caps
sifrol 0.18mg 30 tab.,sifrol,0.18mg,tab
sifrol 0.7mg 30 tab,sifrol,0.7mg,tab
sigagrel 75 mg 10 tab,sigagrel,75 mg,tab
sigagrel 75mg 10 f.c. tab,sigagrel,75mg,tab
sigdutaster 0.5mg 10 cap,sigdutaster,0.5mg,cap
sigdutaster 0.5mg 10 capsule,sigdutaster,0.5mg,capsule
sigmacortin 500mg pd. for i.m./i.v.,sigmacortin,500mg,powder for i.m./i.v.
sigmacortin vial,sigmacortin,0,vial
sigmacyn 1500mg vial i.m. i.v.,sigmacyn,1500mg,vial i.m. i.v.
