original_name,drug_name,dose,form
tda 1% topical oint. 10 gm,tda,1%,topical oint.
tears guard 0.3% eye drops 15 ml,tears guard,0.3%,eye drops
tears guard 0.3% eye drops 20 * 0.4ml sdu,tears guard,0.3%,eye drops
tears natural collyrium 2 15 ml (alcon),tears natural,0,collyrium
tears naturale eye drops 15 ml,tears naturale,0,eye drops
teblecean 30tabs,teblecean,0,tabs
tebofortin 40mg 30 f.c.tab.,tebofortin,40mg,tab.
tebofortin 40mg/ml oral drops 30 ml,tebofortin,40mg/ml,oral drops
tebofortin 80mg 30 f.c.tab.,tebofortin,80mg,tab.
tebofortin forte 80mg 30 f.c. tab.,tebofortin forte,80mg,tab.
tebonina forte 40mg 20 f.c. tab,tebonina forte,40mg,tab
tecafo 30 tab,tecafo,0,tab
tecavir 0.05mg/ml oral soln. 210 ml,tecavir,0.05mg/ml,oral soln.
tecavir 0.5mg 30 f.c. tab.,tecavir,0.5mg,tab.
tecavir 1mg 30 f.c. tab.,tecavir,1mg,tab.
tecentacav 0.5 mg 10 f.c.tabs.,tecentacav,0.5 mg,tabs.
tecentacav 1 mg 10 f.c.tabs.,tecentacav,1 mg,tabs.
tecentriq 1200 mg vial conc. for i.v. inf.,tecentriq,1200 mg,vial conc.
tecentriq 840 mg vial conc. for i.v. inf.,tecentriq,840 mg,vial conc.
tecfidera 120 mg 14 gast. resist. caps. ss,tecfidera,120 mg,gast. resist. caps.
tecfidera 240 mg 56 gast. resist. caps. ss,tecfidera,240 mg,gast. resist. caps.
technorrin 100 mg 14 sachets,technorrin,100 mg,sachets
technospiron 0.03/3mg 21 f.c.tab,technospiron,0.03/3mg,tab
tecnovula 50mg 20 tablets,tecnovula,50mg,tablets
tedavi-rest massage cream 50gm,tedavi-rest,0,massage cream
teddifly 60 syrup,teddifly,0,syrup
teddy go 30 gummies,teddy go,0,gummies
teddy go 60 gummies,teddy go,0,gummies
tedimerp 200 mg 6 f.c. tabs.,tedimerp,200 mg,tabs.
teen derm alpha-pure 30 ml,teen derm alpha-pure,0,0
teen derm aqua 200 ml,teen derm aqua,0,0
teen derm gel 150ml,teen derm,0,gel
teen derm gel sensitive 250ml,teen derm,0,gel sensitive
teen derm hydra 40 ml,teen derm hydra,0,0
teen derm k concentrate 30 ml,teen derm k concentrate,0,0
teen tone whitening lotion 120 ml,teen tone whitening,0,lotion
tegasterk 50mg i.v. vial,tegasterk,50mg,i.v. vial
tegelet (govita) 60 gummies,tegelet,0,gummies
tegral 200mg 50 scored tabs.,tegral,200mg,scored tabs.
tegrapin 100mg/5ml susp. 120ml,tegrapin,100mg/5ml,susp.
tegrapin 100mg/5ml susp. 120ml(n/a yet),tegrapin,100mg/5ml,susp.
tegrapin 400 mg xr 10 tab.,tegrapin,400 mg,xr tab.
tegrapin xr 400 mg 10 tab,tegrapin xr,400 mg,tab
tegretol 2% syrup 100ml,tegretol,2%,syrup
tegretol 200mg 30 tab.,tegretol,200mg,tab.
tegretol cr 200mg 20 f.c. divitab.,tegretol cr,200mg,divitab.
tegretol cr 400mg 20 f.c. divitabs,tegretol cr,400mg,divitabs
tegsoran 6mg 10 tab.,tegsoran,6mg,tab.
tekliva 0.004% eye drops 2.5 ml,tekliva,0.004%,eye drops
tekliva plus 0.004%/0.5% eye drops 2.5 ml,tekliva plus,0.004%/0.5%,eye drops
