original_name,drug_name,dose,form
sperience 10 sachets 10 gm,sperience,10 gm,sachets
sperience 20 caps.,sperience,0,caps
sperience 7 sachets 10 gm,sperience,10 gm,sachets
sperkoda 20 tabs.,sperkoda,0,tabs
sperma plus 30 f.c.tabs.,sperma plus,0,tabs
spersa dexoline eye drops 5 ml,spersa dexoline,5 ml,eye drops
spersadex comp eye drops,spersadex comp,0,eye drops
spertility 14 sachets,spertility,0,sachets
sphingomod 0.5 mg 28 caps.,sphingomod,0.5 mg,caps
spididol 400 mg 12 eff. gr. in sachets,spididol,400 mg,eff. gr. in sachets
spididol 600 mg 12 eff. gr. in sachets,spididol,600 mg,eff. gr. in sachets
spika 100mg 12 f.c. tablets,spika,100mg,tablets
spin cream 120 gm,spin,120 gm,cream
spinax topical gel 30 gm,spinax,30 gm,topical gel
spinobac 5mg/5ml syrup 120ml,spinobac,5mg/5ml,syrup
spinobac 5mg/5ml syrup 300ml,spinobac,5mg/5ml,syrup
spiolto respimat 2.5/2.5 mcg 60 puffs inhaler,spiolto respimat,2.5/2.5 mcg,inhaler
spiracin 6 supp infant,spiracin,0,supp infant
spiracin child 1.3 miu- 6 supp,spiracin child,1.3 miu,supp
spiramycin 1.5 m.i.u. 10 tab.,spiramycin,1.5 m.i.u.,tab.
spiramycin 3 m.i.u. 10 tab.,spiramycin,3 m.i.u.,tab.
spiraquet 100mg 20 f.c. tab.,spiraquet,100mg,tab.
spiraquet 200 mg 20 f.c.tabs.,spiraquet,200 mg,tabs.
spiraquet 25 mg 20 f.c.tabs.,spiraquet,25 mg,tabs.
spirazole 20 tab.,spirazole,0,tab.
spirazole forte 20 tab.,spirazole forte,0,tab.
spire sun screen lotion 100 ml,spire sun screen,100 ml,lotion
spirex 1.5 m.i.u. 16 tab.,spirex,1.5 m.i.u.,tab.
spirex 3 m.i.u. 10 tab,spirex,3 m.i.u.,tab
spirex plus 20 f.c. tabs.,spirex plus,0,tabs.
spiriva 18 mcg 30 cap,spiriva,18 mcg,cap
spiriva 18mcg 30 caps. for inhalation,spiriva,18mcg,inhalation caps
spiriva 18mcg 30 inh. caps,spiriva,18mcg,inh. caps
spiriva 18mcg 30 inh. caps.+handihaler,spiriva,18mcg,inh. caps.+handihaler
spiriva handihaler device,spiriva handihaler,0,device
spiriva respimat 2.5mcg 60 puffs inhaler,spiriva respimat,2.5mcg,inhaler
spirometro 30 f.c. tabs.,spirometro,0,tabs
spiromide 100/20mg 10 f.c.tab.,spiromide,100/20mg,tab.
spiromide 50/20mg 10 f.c.tab.,spiromide,50/20mg,tab.
spironolactone (delta) 100mg 20 tab.,spironolactone (delta),100mg,tab.
spironolactone (delta) 25mg 10 tab,spironolactone (delta),25mg,tab
spironolactone (delta) 50mg 10 tab.,spironolactone (delta),50mg,tab.
spirozide 25/25mg 20 tab.,spirozide,25/25mg,tab.
spirulina 500 mg 100 tablets (illegal import),spirulina,500 mg,tablets
splanda,splanda,0,0
spleet exfoliating cream 40 gm,spleet exfoliating,40 gm,cream
spleet eye contour cream 30 gm,spleet eye contour,30 gm,cream
spleet facial cleanser 200 ml,spleet facial,200 ml,cleanser
spleet whitening cream 40 gm,spleet whitening,40 gm,cream
splenda sweetener 100 tablets,splenda sweetener,0,tablets
