original_name,drug_name,dose,form
sigmacyn 250mg/5ml susp. 60ml,sigmacyn,250mg/5ml,susp.
sigmacyn 375mg 12 f.c. tab.,sigmacyn,375mg,tab.
sigmacyn 750mg vial i.m. i.v.,sigmacyn,750mg,vial
sigmadone 3mg 10 tab.,sigmadone,3mg,tab.
sigmafenac 75 mg s.r. 30 cap.,sigmafenac,75 mg,cap.
sigmagrel 75 mg 20tab,sigmagrel,75 mg,tab
sigmagrel 75mg 20 f.c. tab,sigmagrel,75mg,tab
sigmalip 20 mg 10 f.c.tab.,sigmalip,20 mg,tab.
sigmalip 20mg tab,sigmalip,20mg,tab
sigmalip 40mg 10 f.c.tab.,sigmalip,40mg,tab.
sigmalip 40mg tab,sigmalip,40mg,tab
sigmaprofen 0.03% ophth. soln. 5 ml,sigmaprofen,0.03%,ophth. soln.
sigmaprofen 0.03%eye drops,sigmaprofen,0.03%,eye drops
sigmastinal 20mg/ml 1 amp.,sigmastinal,20mg/ml,amp.
sigmataxim 1 gm i.v/i.m vial,sigmataxim,1 gm,vial
sigmataxim 500mg i.v. / i.m. vial,sigmataxim,500mg,vial
sigmazidim 1 gm vial for i.v./i.m. inj.,sigmazidim,1 gm,vial
sigmazidim 500 mg vial for i.v./i.m. inj.,sigmazidim,500 mg,vial
sigmazidime 1gm vial,sigmazidime,1gm,vial
sigmazidime 500mg vial,sigmazidime,500mg,vial
signifor 0.3mg/ml 30 amp.,signifor,0.3mg/ml,amp.
signifor 0.6mg/ml 30 amp.,signifor,0.6mg/ml,amp.
signifor 0.9mg/ml 30 amp.,signifor,0.9mg/ml,amp.
sigotryl 0.5mg 10 tab,sigotryl,0.5mg,tab
sigotryl 0.5mg 10 tab.,sigotryl,0.5mg,tab.
sigotryl 2mg 10 tab,sigotryl,2mg,tab
sigotryl 2mg 10 tab.,sigotryl,2mg,tab.
sikoor viscous vaginal sol. 240 ml,sikoor,0,viscous vaginal sol.
sila bone 30 tabs,sila bone,0,tabs
silagra 25 mg 10 f.c. tab.,silagra,25 mg,tab.
silanil 100mg 2 f.c.tab,silanil,100mg,tab
silanil 100mg 2 f.c.tab.,silanil,100mg,tab.
sildatrona 100 mg 12 f.c.tabs.,sildatrona,100 mg,tabs.
sildatrona 100 mg 8 f.c.tabs.,sildatrona,100 mg,tabs.
sildava 100mg 12 tablets,sildava,100mg,tablets
silden 100 mg 4 f.c. tabs,silden,100 mg,tabs
silden 100 mg 8 f.c. tabs,silden,100 mg,tabs
silden 25 mg 10 f.c.tab.,silden,25 mg,tab.
silden 50 mg 4 f.c. tabs.,silden,50 mg,tabs.
silden 50 mg 4 orodispersible tabs,silden,50 mg,orodispersible tabs
sildenamax 100mg 8tablet,sildenamax,100mg,tablet
sildenarock 100mg 12 f.c. tabs,sildenarock,100mg,tabs
silderm dual action scar gel 15 gm,silderm dual action scar,15 gm,gel
silderm scar gel 15 gm,silderm scar,15 gm,gel
silderm scar spray 30 ml,silderm scar,30 ml,spray
sildinax 100 mg 3 f.c. tabs,sildinax,100 mg,tabs
sildinova 10mg pd. for susp. 120 ml,sildinova,10mg,pd. for susp.
sildocare 4mg 20 caps.,sildocare,4mg,caps.
sildocare 8mg 20 caps,sildocare,8mg,caps
silicar skin serum 50 gm,silicar skin,50 gm,serum
