original_name,drug_name,dose,form
pararhinol 120ml syrup,pararhinol,120ml,syrup
pararhinol syrup 120ml,pararhinol,120ml,syrup
parasidose lice & nuts lotion 110 ml,parasidose lice & nuts,110ml,lotion
paravesent 5/500mg 6 eff. sachets,paravesent,5/500mg,eff. sachets
parazad 40gm topical gel,parazad,40gm,topical gel
parazad topical gel 40 gm,parazad,40gm,topical gel
parazoxanide 500 mg 18 cap,parazoxanide,500mg,cap
parazoxanide 500 mg 18caps,parazoxanide,500mg,caps
pariet 10mg 14 tab.,pariet,10mg,tab.
pariet 20mg 14 tab.,pariet,20mg,tab.
parkflozin 100 mg 10 f.c. tabs.,parkflozin,100mg,tabs.
parkflozin 300 mg 10 f.c. tabs.,parkflozin,300mg,tabs.
parkicapone 200mg 10tab,parkicapone,200mg,tab
parkicapone 200mg 20 f.c. tab.,parkicapone,200mg,tab.
parkicarlevo 250/25 mg 30 tab.,parkicarlevo,250/25mg,tab.
parkidopa cr 10 controlled release tab.,parkidopa cr,0,controlled release tab.
parkimedine 100 mg 10 f.c. tabs.,parkimedine,100mg,tabs.
parkimedine 100 mg 20 f.c. tabs.,parkimedine,100mg,tabs.
parkimedine 50 mg 10 f.c. tabs.,parkimedine,50mg,tabs.
parkimedine 50 mg 20 f.c. tabs.,parkimedine,50mg,tabs.
parkineast 5mg 30 caps.,parkineast,5mg,caps.
parkinol 5mg 100tab.,parkinol,5mg,tab.
parkintreat 1mg 30 tabs.,parkintreat,1mg,tabs.
parkvill anti-bacterial soap 125 gm,parkvill anti-bacterial soap,125gm,soap
parkvill whitening soap 125 gm,parkvill whitening soap,125gm,soap
parlodel 2.5mg 20 tab.,parlodel,2.5mg,tab.
parnetil 10 mg 10 tab,parnetil,10mg,tab
parnetil 10mg 10 tab.,parnetil,10mg,tab.
parodontax mouth wash 300ml,parodontax,300ml,mouth wash
parofen 30 oblong tab.,parofen,0,oblong tab.
paromino cream 30 g 20 %,paromino,20%,cream
paromino cream 30 gm,paromino,30gm,cream
paroteen cream 60 gm,paroteen,60gm,cream
parox 200mg 10 f.c. tab.,parox,200mg,tab.
paroxedep cr 12.5 mg 10 f.c.tab,paroxedep cr,12.5mg,tab
paroxedep cr 12.5 mg 30 f.c.tabs.,paroxedep cr,12.5mg,tabs.
paroxedep cr 25 mg 10 f.c.tab,paroxedep cr,25mg,tab
paroxedep cr 25 mg 30 f.c.tab,paroxedep cr,25mg,tab
paroxedep cr 37.5 mg 10 enteric f.c.tabs.,paroxedep cr,37.5mg,enteric tabs.
paroxedep cr 37.5 mg 30 f.c.tabs.,paroxedep cr,37.5mg,tabs.
paroxedur xl 25 mg 30 ext. rel. f.c. tabs.,paroxedur xl,25mg,ext. rel. tabs.
paroxetine 20mg 30 f.c.tab,paroxetine,20mg,tab
paroxetine cr 12.5mg 30 f.c. tab,paroxetine cr,12.5mg,tab
paroxetine cr 25mg 30 f.c. tablets,paroxetine cr,25mg,tablets
paroxetine cr 37.5 mg 30 f.c.tab,paroxetine cr,37.5mg,tab
parten massage spray,parten,0,massage spray
partenza 20 tab.,partenza,0,tab.
parzex 75gm soap,parzex,75gm,soap
pascolar 50 gm gel,pascolar,50gm,gel
pasjel cream 60 gm,pasjel,60gm,cream
