original_name,drug_name,dose,form
daily moisturizer 5*1 50 ml,daily moisturizer,50 ml,0
daily vits 30 veg. caps. (now),daily vits,30 caps,caps
daisy dent mouth wash 120 ml,daisy dent mouth,120 ml,wash
daivobet topical gel 15 gm,daivobet,15 gm,gel
daivobet topical gel 30 gm,daivobet,30 gm,gel
daivobet topical oint. 15 gm,daivobet,15 gm,oint
daivobet topical oint. 30 gm,daivobet,30 gm,oint
daivonex 50mg/gm 30 gm oint,daivonex,50 mg/gm,oint
daivonex 50mg/gm lotion 30 gm,daivonex,50 mg/gm,lotion
daivonex cream 30 gm,daivonex,30 gm,cream
dajuanofen 200 mg 20 caps,dajuanofen,200 mg,caps
dajuanofen 400 mg 20 f.c. tabs.,dajuanofen,400 mg,tabs
dajuanofen 600 mg 20 f.c. tabs.,dajuanofen,600 mg,tabs
daklanork 60 mg 28 f.c. tabs.,daklanork,60 mg,tabs
daktacort cream 15 gm,daktacort,15 gm,cream
daktarin 2% cream 15 gm,daktarin,2 %,cream
daktarin 2% oral gel 40 gm,daktarin,2 %,gel
daktavira 60 mg 28 f.c. tabs.,daktavira,60 mg,tabs
daky deodorant roll on 50 ml,daky deodorant,50 ml,roll on
daky night whitening cream 50 gm,daky whitening,50 gm,cream
daky sensitive whitening cream 50 gm,daky whitening,50 gm,cream
daky sunscreen 50+ spf cream 60 gm,daky sunscreen,60 gm,cream
daky sunscreen 50+ spf lotion 75 gm,daky sunscreen,75 gm,lotion
daky whitening cream 60 gm,daky whitening,60 gm,cream
dal-port 400 i.u./ml oral drops 30 ml,dal-port,400 i.u./ml,drops
dalacin 2% vaginal cream 16.5 gm,dalacin,2 %,cream
dalacin c 150mg 16 cap,dalacin c,150 mg,caps
dalacin c 300mg 10 caps.,dalacin c,300 mg,caps
dalacin c 600mg i.m./i.v. 4 ml amp.,dalacin c,600 mg,amp
dalacin t 1% topical soln. 30 ml,dalacin t,1 %,soln
daldrop 200 i.u./drop oral drops 30 ml,daldrop,200 i.u./drop,drops
dalfarosis 10 mg 20 ext. rel. f.c. tabs.,dalfarosis,10 mg,tabs
dalivent 0.5 mg 10 f.c. tabs.,dalivent,0.5 mg,tabs
dalizos xl 4 mg 7 tabs.,dalizos xl,4 mg,tabs
dalkino 20 tabs,dalkino,20 tabs,tabs
dally- mez 25 ml oral drops,dally- mez,25 ml,drops
dalukan drops 25 ml,dalukan,25 ml,drops
dam light serum 30ml,dam light,30 ml,serum
dama fresh 250 ml,dama fresh,250 ml,0
dan off hair shampoo 250ml,dan off,250 ml,shampoo
dana massage cream 60 gm,dana massage,60 gm,cream
dana whitening cream 40 gm,dana whitening,40 gm,cream
danabol ds 10 mg 500cap,danabol ds,10 mg,caps
danasetron 4mg/2ml 5 amps.,danasetron,4 mg/2 ml,amps
danasetron 8mg/4ml 5 amp.,danasetron,8 mg/4 ml,amp
danazol 200mg 56 caps,danazol,200 mg,caps
dancran 30 caps,dancran,30 caps,caps
dand off hair cream 50 gm,dand off,50 gm,cream
dand rast anti-dandruff shampoo 125 gm,dand rast anti-dandruff,125 gm,shampoo
dandel hair cream 100 gm,dandel,100 gm,cream
