original_name,drug_name,dose,form
ramallerge 4mg 20 tab.,ramallerge,4mg,tab
ramatrizine 5 mg 30 f.c.tabs.,ramatrizine,5 mg,tabs
ramazodef 400mg 10 f.c. tab.,ramazodef,400mg,tab
ramdeep 2mg/ml syrup 120ml,ramdeep,2mg/ml,syrup
ramdeep 40mg 10 f.c. tab.,ramdeep,40mg,tab
rame-dinir 125mg/5ml susp. 60 ml,rame-dinir,125mg/5ml,susp.
rame-dinir 250mg/5ml susp. 60 ml,rame-dinir,250mg/5ml,susp.
rame-zithro 1% eye drops 2.5 ml,rame-zithro,1%,eye drops
rame-zithro 200mg/5ml susp. 15 ml,rame-zithro,200mg/5ml,susp.
rame-zithro 200mg/5ml susp. 30 ml,rame-zithro,200mg/5ml,susp.
rame-zithro 500 mg 6 f.c.tabs.,rame-zithro,500 mg,tabs
rame-zithro 500mg 3 f.c.tabs.,rame-zithro,500mg,tabs
rame-zithro 500mg pd. for i.v. inf. (hospitals only),rame-zithro,500mg,pd. for i.v. inf.
rameceftrax 1 gm i.m. vial,rameceftrax,1 gm,i.m. vial
rameceftrax 1 gm iv vial,rameceftrax,1 gm,iv vial
rameceftrax 500 mg vial for i.m. inj.,rameceftrax,500 mg,vial for i.m. inj.
rameceftrax 500 mg vial for i.v. inj.,rameceftrax,500 mg,vial for i.v. inj.
ramedafenac 0.1% eye dps. 5 ml,ramedafenac,0.1%,eye dps.
ramedamycin 0.3% eye drops 10 ml,ramedamycin,0.3%,eye drops
ramedamycin 0.3% eye drops 5 ml,ramedamycin,0.3%,eye drops
ramedamycin plus eye drops 10 ml,ramedamycin plus,0,eye drops
ramedamycin plus eye drops 5 ml,ramedamycin plus,0,eye drops
ramedazolamide eye drop 5 ml,ramedazolamide,0,eye drop
ramefluzole 150mg 1 caps.,ramefluzole,150mg,caps
ramenart 600 mg 10 f.c. tabs,ramenart,600 mg,tabs
rametax 1gm i.v./i.m vial,rametax,1gm,i.v./i.m vial
rametax 2gm i.v./i.m vial,rametax,2gm,i.v./i.m vial
rametax 500 mg i.v/i.m vial,rametax,500 mg,i.v/i.m vial
ramipress 1.25 mg 14 f.c.tab.,ramipress,1.25 mg,tab
ramipress 1.25 mg 7 f.c.tab.,ramipress,1.25 mg,tab
ramipress 5 mg 14 f.c.tab.,ramipress,5 mg,tab
ramipress 5 mg 7 f.c.tab.,ramipress,5 mg,tab
ramipril 1.25mg 7 caps.,ramipril,1.25mg,caps
ramipril 10 mg 7 caps.,ramipril,10 mg,caps
ramipril 2.5mg 7 caps.,ramipril,2.5mg,caps
ramipril 5mg 7 caps.,ramipril,5mg,caps
ramipril comp 5/25 mg 7 tabs.,ramipril comp,5/25 mg,tabs
ramipril comp ls 2.5/12.5mg 7 tab.,ramipril comp ls,2.5/12.5mg,tab
ramiril 2.5 mg 7 h.g. caps.,ramiril,2.5 mg,caps
ramiril 5 mg 7 h.g. caps.,ramiril,5 mg,caps
ramitac 2.5mg 8 tab.,ramitac,2.5mg,tab
ramixole 0.25mg 30 tabs.,ramixole,0.25mg,tabs
ramixole 1 mg 30 tab.,ramixole,1 mg,tab
ramizipine 30 mg 30 f.c. tabs.,ramizipine,30 mg,tabs
rampecardin 1.25mg 7 tabs,rampecardin,1.25mg,tabs
rampecardin 10 mg 7 tabs,rampecardin,10 mg,tabs
rampecardin 2.5 mg 7 tabs,rampecardin,2.5 mg,tabs
rampecardin 5 mg 7 tabs,rampecardin,5 mg,tabs
rampecardin co 2.5/12.5mg 7 tab.,rampecardin co,2.5/12.5mg,tab
rampecardin co 5/25mg 7 tab.,rampecardin co,5/25mg,tab
