original_name,drug_name,dose,form
feverin flu sachet,feverin flu,0,sachet
fevina vag.douche 250 ml,fevina,250 ml,vag.douche
fevitro 45 chocolate pieces,fevitro,0,chocolate pieces
fevoza 120 ml massage spray,fevoza,120 ml,massage spray
fevoza 75gm massage gel,fevoza,75 gm,massage gel
fewmig 20 s.g.caps.,fewmig,0,s.g.caps.
fexodine 120mg 10 cap.,fexodine,120 mg,cap.
fexodine 180mg 10 caps.,fexodine,180 mg,caps.
fexodine 30mg/5ml oral susp. 100 ml,fexodine,30 mg/5 ml,oral susp.
fexofenadine-cid 120mg 20 f.c. tabs.,fexofenadine-cid,120 mg,tabs.
fexolerg 180 mg 10 f.c.tabs.,fexolerg,180 mg,tabs.
fexolerg 180 mg 10 tab,fexolerg,180 mg,tab
fexon 120mg 10 f.c.tab,fexon,120 mg,tab
fexon 180mg 10 f.c.tab.,fexon,180 mg,tab.
fexon 30mg/5 ml oral susp. 100 ml,fexon,30 mg/5 ml,oral susp.
fexostadine 60 mg 20 tab,fexostadine,60 mg,tab
fexostadine 60 mg 20 tabs.,fexostadine,60 mg,tabs.
fibro-act 24 sachets,fibro-act,0,sachets
fibrocro 5 gm 15 sachets,fibrocro,5 gm,sachets
fibrogrel 75mg 28 f.c. tab.,fibrogrel,75 mg,tab.
fibropid 600 mg 30 f.c. tabs.,fibropid,600 mg,tabs.
fictorest capsules 30 capsules,fictorest,0,capsules
fiesto 90mg 4 delayed release caps.,fiesto,90 mg,delayed release caps.
filgrastim sedico 300mcg liquid vial,filgrastim sedico,300 mcg,liquid vial
fiminosan 20 mg 10 tab,fiminosan,20 mg,tab
fiminosan 20 mg 30 tab,fiminosan,20 mg,tab
fiminosan 20mg 30 tab.,fiminosan,20 mg,tab.
fiminshor 200 ml intimate feminine wash,fiminshor,200 ml,intimate feminine wash
final 2 hair lotion 120ml,final 2,120 ml,hair lotion
final 2 hair shampoo 180ml,final 2,180 ml,hair shampoo
final 2 hair shampoo 240ml,final 2,240 ml,hair shampoo
finastura 5mg 30 f.c.tab.,finastura,5 mg,tab.
fincar 5 mg 10 tab,fincar,5 mg,tab
fincar 5mg 10 f.c. tab.,fincar,5 mg,tab.
finch baby cream,finch,0,baby cream
fine derm 0.25% rectal cream 30 gm,fine derm,0.25 %,rectal cream
fine derm 0.25% rectal cream 50 gm,fine derm,0.25 %,rectal cream
fine derm gel 50 gm,fine derm,50 gm,gel
fine step gel 50 gm,fine step,50 gm,gel
fine trust cream 50 gm,fine trust,50 gm,cream
fine trust soothing cream,fine trust,0,soothing cream
finepanthenol 5% cream 20 gm,finepanthenol,5 %,cream
fini-pure topical cream 50 gm,fini-pure,50 gm,topical cream
finitrue topical gel 50 gm,finitrue,50 gm,topical gel
finitrue topical gel 80 gm,finitrue,80 gm,topical gel
finlimod 0.5 mg 28 caps.,finlimod,0.5 mg,caps.
finofib 300mg 10 capsules,finofib,300 mg,capsules
finorate 100mg 20 caps.,finorate,100 mg,caps.
finorate retard 250mg 20 caps.,finorate retard,250 mg,caps.
finshape 120mg 30 caps.,finshape,120 mg,caps.
