original_name,drug_name,dose,form
pharma pred 1% eye drops (susp.) 5 ml,pharma pred,1%,eye drops (susp.)
pharma-flam 100 mg 20 f.c. tabs.,pharma-flam,100 mg,tabs
pharma-flam cream 30 gm,pharma-flam,30 gm,cream
pharmabetic 100 mg 30 f.c.tab.,pharmabetic,100 mg,tab
pharmabetic 50 mg 30 f.c.tab.,pharmabetic,50 mg,tab
pharmabetic plus 50/1000 mg 30 f.c.tab.,pharmabetic plus,50/1000 mg,tab
pharmabetic plus 50/500 mg 30 f.c.tab.,pharmabetic plus,50/500 mg,tab
pharmabilast 20 mg 20 tabs.,pharmabilast,20 mg,tabs
pharmaceris a-opti-sensilium duo active anti-wrinkle eye cream 15 ml,pharmaceris a-opti-sensilium duo active anti-wrinkle eye,15 ml,cream
pharmaceris a-puri-sensilium soothing foam face & eye cleansing 150 ml,pharmaceris a-puri-sensilium soothing face & eye cleansing,150 ml,foam
pharmaceris a-sensilix duo concentrate with vit. a & e 30 ml,pharmaceris a-sensilix duo concentrate with vit. a & e,30 ml,concentrate
pharmaceris a-ultra-sensilium cream 30 ml,pharmaceris a-ultra-sensilium,30 ml,cream
pharmaceris e-emotopic emollient barrier face & body cream 75 ml,pharmaceris e-emotopic emollient barrier face & body,75 ml,cream
pharmaceris e-emotopic emollient wash gel 400 ml,pharmaceris e-emotopic emollient wash,400 ml,gel
pharmaceris e-emotopic hydrating and lipid-replenishing body balm,pharmaceris e-emotopic hydrating and lipid-replenishing body,0,balm
pharmaceris e-emotopic lipid-replenishing formula 3 in1,pharmaceris e-emotopic lipid-replenishing formula 3 in1,0,0
pharmaceris e-emotopic special lipid-replenishing cream 75 ml,pharmaceris e-emotopic special lipid-replenishing,75 ml,cream
pharmaceris f-fluid foundation spf50+ 01 ivory protective-corrective,pharmaceris f spf50+ 01 ivory protective-corrective,0,fluid foundation
pharmaceris f-fluid foundation spf50+ 02 sand protective-corrective,pharmaceris f spf50+ 02 sand protective-corrective,0,fluid foundation
pharmaceris f-mild fluid foundation spf20 01 ivory intense coverage,pharmaceris f-mild spf20 01 ivory intense coverage,0,fluid foundation
pharmaceris f-mild fluid foundation spf20 02 sand intense coverage,pharmaceris f-mild spf20 02 sand intense coverage,0,fluid foundation
pharmaceris f-mild fluid foundation spf20 03 bronze intense coverage,pharmaceris f-mild spf20 03 bronze intense coverage,0,fluid foundation
pharmaceris h-keratineum hair shampoo 250 ml,pharmaceris h-keratineum hair,250 ml,shampoo
pharmaceris h-nutrigin hair conditioner 150 ml,pharmaceris h-nutrigin hair,150 ml,conditioner
pharmaceris h-nutrimelin hair shampoo 250 ml,pharmaceris h-nutrimelin hair,250 ml,shampoo
pharmaceris h-purin dry dandruff shampoo 250 ml,pharmaceris h-purin dry dandruff,250 ml,shampoo
pharmaceris h-purin oily dandruff shampoo 250 ml,pharmaceris h-purin oily dandruff,250 ml,shampoo
pharmaceris h-sebopurin hair shampoo 250 ml,pharmaceris h-sebopurin hair,250 ml,shampoo
pharmaceris h-sensitonin hair shampoo 250 ml,pharmaceris h-sensitonin hair,250 ml,shampoo
pharmaceris h-stimuclaris hair shampoo 250 ml,pharmaceris h-stimuclaris hair,250 ml,shampoo
pharmaceris h-stimuforten hair spray 125 ml,pharmaceris h-stimuforten hair,125 ml,spray
pharmaceris h-stimulinum hair conditioner 150 ml,pharmaceris h-stimulinum hair,150 ml,conditioner
pharmaceris h-stimupeel technology cleansing peel 125 ml,pharmaceris h-stimupeel technology cleansing,125 ml,peel
pharmaceris h-stimupurin hair shampoo 250 ml,pharmaceris h-stimupurin hair,250 ml,shampoo
pharmaceris s-hydro-lipid & protective face cream spf50+ 50 ml,pharmaceris s-hydro-lipid & protective face spf50+,50 ml,cream
pharmaceris s-hydro-lipid protective body lotion spf 50+ 150 ml,pharmaceris s-hydro-lipid protective body spf 50+,150 ml,lotion
pharmaceris s-protective dry oil spf 50+ spray 200 ml,pharmaceris s-protective dry oil spf 50+,200 ml,spray
pharmaceris s-safe protective face cream spf50+ 50 ml,pharmaceris s-safe protective face spf50+,50 ml,cream
pharmaceris s-sun protection face and body cream children spf50+ 125 ml,pharmaceris s-sun protection face and body children spf50+,125 ml,cream
pharmaceris t anti-acne retinol night cream 40 ml,pharmaceris t anti-acne retinol night,40 ml,cream
pharmaceris t normalizing face toner 200 ml,pharmaceris t normalizing face,200 ml,toner
pharmaceris t-body-sebostatic gel 200 ml,pharmaceris t-body-sebostatic,200 ml,gel
pharmaceris t-octopirox soothing face cream spf15 30 ml,pharmaceris t-octopirox soothing face spf15,30 ml,cream
pharmaceris t-puri-sebogel face gel wash 190 ml,pharmaceris t-puri-sebogel face wash,190 ml,gel
pharmaceris t-puri-sebostatic face foam 150 ml,pharmaceris t-puri-sebostatic face,150 ml,foam
pharmaceris t-sebo-almond peel 10% face cream 50 ml,pharmaceris t-sebo-almond peel face,10%,cream
pharmaceris t-sebo-almond-claris 2% bacteriostatic sol. 190 ml,pharmaceris t-sebo-almond-claris bacteriostatic,2%,solution
pharmaceris t-sebo-almond-claris 3% bacteriostatic sol. 190 ml,pharmaceris t-sebo-almond-claris bacteriostatic,3%,solution
pharmaceris t-sebo-micellar antibacterial solution 200 ml,pharmaceris t-sebo-micellar antibacterial,200 ml,solution
pharmaceris t-sebo-moistatic spf 30 face cream 50 ml,pharmaceris t-sebo-moistatic spf 30 face,50 ml,cream
