original_name,drug_name,dose,form
mercrash 50 gm cream,mercrash,50 gm,cream
mercurochrome 2% sol 60 ml,mercurochrome,2%,sol
mercurochrome paint 15 gm,mercurochrome,15 gm,paint
mercury oint. 20 gm,mercury,20 gm,oint.
merfo 30 pieces,merfo,Null,pieces
meridia 10 mg 30 cap,meridia,10 mg,cap
meridia 15mg 30 cap,meridia,15mg,cap
meridol mouth wash 120 ml,meridol,120 ml,mouth wash
meriofert 150 i.u. vial,meriofert,150 i.u.,vial
meriofert 75 i.u. vial,meriofert,75 i.u.,vial
merional 150 i.u. i.m./s.c. vial,merional,150 i.u.,vial
merional 75 i.u. vial,merional,75 i.u.,vial
merm 10 sachets,merm,Null,sachets
merna seas cod liver oil orange 120ml,merna seas cod liver oil orange,120ml,Null
merna seas cod liver oil strawberry 120ml,merna seas cod liver oil strawberry,120ml,Null
merna seas syrup,merna seas,Null,syrup
mernest 20 cap,mernest,Null,cap
merocaine 24 dual action,merocaine 24 dual action,Null,Null
meron 20 tabs.,meron,Null,tabs.
meronem 1 gm i.v. vial,meronem,1 gm,vial
meronem 500mg i.v. vial,meronem,500mg,vial
meropenem-eva pharma 1 gm i.v. vial,meropenem-eva pharma,1 gm,vial
meropenem-eva pharma 500 mg i.v. vial,meropenem-eva pharma,500 mg,vial
merosatin 10mg 14 f.c. tab.,merosatin,10mg,tab.
merosky 20 tablets,merosky,Null,tablets
merostarkyl 1 gm i.v. vial,merostarkyl,1 gm,vial
merostarkyl 500mg i.v. vial,merostarkyl,500mg,vial
merti 30 capsules,merti,Null,capsules
merva d3 - 10.0000 i.u. 30 scored tabs.,merva d3,10.0000 i.u.,tabs.
mervo 100 mg 10 sachets,mervo,100 mg,sachets
mervoza 2.5mg/5ml syrup 120 ml,mervoza,2.5mg/5ml,syrup
mesala 400mg 50 cap,mesala,400mg,cap
mesalajed 400mg 10 delayed rel. tab,mesalajed,400mg,tab
meshka massage cream 50 gm,meshka massage,50 gm,cream
mesna 100mg/ml 200mg 3 amps.(n/a),mesna,100mg/ml,amp
mesocept 50/5mg i.m. amp.,mesocept,50/5mg,amp
mesporin 1000mg i.m.vial,mesporin,1000mg,vial
mesporin 1000mg i.v. vial,mesporin,1000mg,vial
mesporin 500mg i.m. vial,mesporin,500mg,vial
mestal massage gel 30 gm,mestal massage,30 gm,gel
mestal massage gel 80 gm,mestal massage,80 gm,gel
mestinon 60 mg 150 tab.,mestinon,60 mg,tab.
mesulan gel 20 gm,mesulan,20 gm,gel
meta heam 30 cap,meta heam,Null,cap
meta skin care 120gm gel,meta skin care,120gm,gel
metabolon 5mg 1000 tab,metabolon,5mg,tab
metacardia 20mg 30 f.c. tab.,metacardia,20mg,tab.
metacardia mr 35mg 30 f.c. tab.,metacardia mr,35mg,tab.
metadronic 4mg/5ml vial,metadronic,4mg/5ml,vial
metaform 200 gm powder banana,metaform banana,200 gm,powder
