original_name,drug_name,dose,form
epifenac 0.1% eye drops 5 ml,epifenac,0.1%,eye drops
epifenac 100mg 5 rectal supp.,epifenac,100mg,rectal supp.
epifenac 100mg s.r. 10 caps.,epifenac,100mg,s.r. caps.
epifenac 12.5mg 5 supp.,epifenac,12.5mg,supp.
epifenac 25 mg 20 e.c. tab.,epifenac,25 mg,e.c. tab.
epifenac 25mg 5 supp.,epifenac,25mg,supp.
epifenac 50 mg 20 e.c. tabs.,epifenac,50 mg,e.c. tabs.
epifenac 50 mg 5 supp.,epifenac,50 mg,supp.
epifenac 75 mg/3ml 3 i.m./i.v. amp.,epifenac,75 mg/3ml,i.m./i.v. amp.
epifenac 75mg s.r. 10 tabs.,epifenac,75mg,s.r. tabs.
epifluver 200 mg 40 f.c.tabs.,epifluver,200 mg,f.c.tabs.
epigen vaginal spray 60 ml,epigen,0,vaginal spray
epigent 20mg/2ml i.v./i.m. 3 amp.,epigent,20mg/2ml,i.v./i.m. amp.
epigent 80mg/2ml i.m./i.v. 3 amps.,epigent,80mg/2ml,i.m./i.v. amps.
epigonal 75 i.u. 1 amp.,epigonal,75 i.u.,amp.
epikavit 10mg 10 chew. tabs.,epikavit,10mg,chew. tabs.
epikavit 10mg amp,epikavit,10mg,amp
epikavit 10mg/ml 3 amp.,epikavit,10mg/ml,amp.
epilactone 100mg 10 tab,epilactone,100mg,tab
epilactone 25mg 10 tab.,epilactone,25mg,tab.
epilat 10mg 30 soft gelatin caps.,epilat,10mg,soft gelatin caps.
epilat retard 20mg sr. 20 f.c. tab.,epilat retard,20mg,sr. f.c. tab.
epilog 250mg/5ml 10 amp. for i.v. inj.,epilog,250mg/5ml,amp. for i.v. inj.
epimag 12 eff. gr. in sachets,epimag,0,eff. gr. in sachets
epimate 100mg 10 caps.,epimate,100mg,caps.
epimate 200 mg 10 caps.,epimate,200 mg,caps.
epimate 25 mg 10 caps.,epimate,25 mg,caps.
epimazepine 2% oral susp. 100ml,epimazepine,2%,oral susp.
epimazepine cr 200 mg 10 controlled release f.c. tabs.,epimazepine,200 mg,cr controlled release f.c. tabs.
epimazepine cr 400 mg 10 controlled release f.c. tabs.,epimazepine,400 mg,cr controlled release f.c. tabs.
epimiraflu 75 mg 10 caps.,epimiraflu,75 mg,caps.
epinephrine-memphis 1 mg/ml 5 i.m./s.c. amp.,epinephrine-memphis,1 mg/ml,i.m./s.c. amp.
epinephrine-misr 0.25 mg/ml 25 amp.,epinephrine-misr,0.25 mg/ml,amp.
epinephrine-misr 1 mg/ml 100 amp.,epinephrine-misr,1 mg/ml,amp.
epinor 400mg 14 tab.,epinor,400mg,tab.
epinos eff lemon 6 sachets,epinos,0,eff lemon sachets
epinos fruit 6 eff. salt sachet,epinos,0,fruit eff. salt sachet
epinos pineapple 6 eff. salt 6sachet,epinos,0,pineapple eff. salt sachet
epinos pineapple 60 eff. salt sachet,epinos,0,pineapple eff. salt sachet
epinosine b forte 3 ampoules,epinosine b forte,0,ampoules
epiphenicol 1% eye oint 5gm,epiphenicol,1%,eye oint
epiphenicol 1% eye oint. 5 gm,epiphenicol,1%,eye oint.
epiquantel 600 mg 15ml,epiquantel,600 mg,0
epiquantel 600mg 4 f.c. tabs.,epiquantel,600mg,f.c. tabs.
epirax 20 tab.,epirax,0,tab.
epirazole 20mg 14 caps.,epirazole,20mg,caps.
epirelefan 40mg/ml i.m amp.,epirelefan,40mg/ml,i.m amp.
epirizine 10mg 10 tab.,epirizine,10mg,tab.
epirizine 5mg/ml syrup 60 ml,epirizine,5mg/ml,syrup
epirovastin 10 mg 7 scored f.c. tab,epirovastin,10 mg,scored f.c. tab
