original_name,drug_name,dose,form
weight gainer t.s. 250 gm powder- bananna,weight gainer t.s.,250 gm,powder
weight gainer t.s. 250 gm powder- chocolate,weight gainer t.s.,250 gm,powder
weight gainer t.s. 250 gm powder- strawberry,weight gainer t.s.,250 gm,powder
weight gainer t.s. 250 gm powder- vanilla,weight gainer t.s.,250 gm,powder
weight loss natural vitamins 20 soft gels,weight loss natural vitamins,20 mg,soft gels
weight- gainer 2.65 kg powder peach,weight- gainer,2.65 kg,powder
weili 5 tab,weili,5 mg,tab
welevon 10 cap,welevon,10 mg,cap
welevon 10 caps.,welevon,10 mg,caps
well derm cream 15 sachets * 5 gm,well derm,5 gm,sachets
well derm cream 50 gm,well derm,50 gm,cream
well femme intimate feminine wash 100 ml,well femme intimate feminine,100 ml,wash
well femme intimate feminine wash 200 ml,well femme intimate feminine,200 ml,wash
well femme nipple care cream 50 gm,well femme nipple care,50 gm,cream
well femme stretch mark cream 100 gm,well femme stretch mark,100 gm,cream
well femme vaginal gel 200gm,well femme vaginal,200 gm,gel
well woman star flower oil 30 cap,well woman star flower oil,30 mg,cap
wellbutrin 150mg 30 s.r. tab.,wellbutrin,150 mg,s.r. tab
wellcal 200mg 30 tab,wellcal,200 mg,tab
wellinta 150 mg 30s.r.f.c.tabs.,wellinta,150 mg,s.r. tabs
welljen 30 tabs,welljen,30 mg,tabs
welljen asu 30 caps,welljen asu,30 mg,caps
wellman original 30 tabs.,wellman original,30 mg,tabs
wellmetazone 0.1% cream 40 gm,wellmetazone,40 gm,cream
wellness 20 f.c.tabs,wellness,20 mg,tabs
wellocryptase 100mg/5ml pd. for oral susp. 60 ml,wellocryptase,100mg/5ml,oral susp.
wellofung 2% topical cream 40 gm,wellofung,40 gm,cream
wellssage massage gel 30gm,wellssage massage,30 gm,gel
wellssage massage gel 50gm,wellssage massage,50 gm,gel
wellwoman original 60 tabs.,wellwoman original,60 mg,tabs
weptonal 320mg 7 f.c. tabs.,weptonal,320 mg,tabs
wesaya hair oil 200 ml,wesaya hair,200 ml,oil
wessol 10 sachets,wessol,10 mg,sachets
westabreath 500 mcg 20 f.c. tabs.,westabreath,500 mcg,tabs
westadiab 25 mg 10 f.c. tabs.,westadiab,25 mg,tabs
westagrelor 90mg 10 f. c. tabs.,westagrelor,90 mg,tabs
westair 4 mg 14 sachets,westair,4 mg,sachets
westdiab 25 tabs,westdiab,25 mg,tabs
westgrelor 90mg 10 f.c.tabs.,westgrelor,90 mg,tabs
westoflow oral susp. 120 ml,westoflow,120 ml,oral susp.
westoxetin 30 mg 3 f.c. tabs.,westoxetin,30 mg,tabs
westrecta 10 mg 4 oro-dispersible tabs,westrecta,10 mg,oro-dispersible tabs
westrino mouth wash 120 ml,westrino mouth,120 ml,wash
westsleep 3 mg 30 f.c.tabs.,westsleep,3 mg,tabs
wetshi 50ml lotion,wetshi,50 ml,lotion
wfs plus 180 veg. caps.,wfs plus,180 mg,veg. caps
wfs pro 180 capsule,wfs pro,180 mg,capsule
wheat germ oil 30 caps.,wheat germ oil,30 mg,caps
whey c. amino 60 capsules,whey c. amino,60 mg,capsules
whey gold standard 912 gm,whey gold standard,912 gm,0
