original_name,drug_name,dose,form
ciprofloxacin-amriya 250mg 10 f.c. tab,ciprofloxacin-amriya,250mg,tab
ciprofloxacin-amriya 500mg 10 f.c. tab.,ciprofloxacin-amriya,500mg,tab
ciprofloxacin-organo 500 mg 10 f.c.tabs.,ciprofloxacin-organo,500 mg,tabs
ciprofloxacin-organo 750 mg 10 tab,ciprofloxacin-organo,750 mg,tab
ciprofloxiraz 500mg 10 f.c. tab.,ciprofloxiraz,500mg,tab
ciprofloxiraz 750mg 10 f.c. tab.,ciprofloxiraz,750mg,tab
ciprofloxmet 500/500mg 20 f.c.tabs.,ciprofloxmet,500/500mg,tabs
ciprofox 0.3% eye drops,ciprofox,0.3%,eye drops
cipromax 250mg 10 tab.,cipromax,250mg,tab
cipromax 500mg 10 f.c.tab.,cipromax,500mg,tab
cipromax 750mg 10 f.c.tab.,cipromax,750mg,tab
cipromega xl 1000 mg 14 ext. rel. f.c.tabs.,cipromega xl,1000 mg,tabs
cipromega xl 500mg 10 ext. rel. f.c.tab.,cipromega xl,500mg,tab
ciproquin 500mg 10 tab,ciproquin,500mg,tab
ciproquin 750mg 10 f.c. tab.,ciproquin,750mg,tab
ciprotak xl 1000 mg extended release 5 f.c.tab.,ciprotak xl,1000 mg,tab
ciprotak xl 500 mg extended release 10 f.c.tab.,ciprotak xl,500 mg,tab
ciproxason otic susp. 15 ml drops,ciproxason,15 ml,otic susp. drops
ciproxil-xl 500 mg 10 tab,ciproxil-xl,500 mg,tab
cira panthenol cream 30 gm,cira panthenol,30 gm,cream
cira panthenol hair cream 100 gm,cira panthenol hair,100 gm,cream
cira panthenol hair kids cream 100 gm,cira panthenol hair kids,100 gm,cream
circufit 10mg 20 caps.,circufit,10mg,caps
circunex 1000 mg 20 tabs,circunex,1000 mg,tabs
cirkulin 100 mg 60 pearls,cirkulin,100 mg,pearls
cis-atracure 10 mg/5ml i.v. 5 amps.,cis-atracure,10 mg/5ml,i.v. amps
cis-atracure 10 mg/5ml i.v. amp.,cis-atracure,10 mg/5ml,i.v. amp
cis-atracure 20 mg i.v. amp.,cis-atracure,20 mg,i.v. amp
cis-atracure 2mg/ml (10mg) i.v. amp.,cis-atracure,2mg/ml,i.v. amp
cis-atracure 2mg/ml (20mg) i.v. amp.,cis-atracure,2mg/ml,i.v. amp
cis-atracure 2mg/ml (5mg) i.v. amp.,cis-atracure,2mg/ml,i.v. amp
cis-atracure 5 mg i.v. amp.,cis-atracure,5 mg,i.v. amp
cisat 30tab,cisat,0,30tab
cisplatin 0.5mg/ml (10mg) vial.,cisplatin,0.5mg/ml,vial
cisplatin 0.5mg/ml (50mg) vial.,cisplatin,0.5mg/ml,vial
cisplatin 1mg/ml (100mg) vial,cisplatin,1mg/ml,vial
cisplatin 1mg/ml (50mg) vial,cisplatin,1mg/ml,vial
cisplatin-ebewe 25mg/50ml vial(n/a),cisplatin-ebewe,25mg/50ml,vial
cisplatine mylan 100mg/100ml vial(n/a),cisplatine mylan,100mg/100ml,vial
cisplatine mylan 10mg/10ml vial(n/a),cisplatine mylan,10mg/10ml,vial
cisplatine mylan 25mg/25ml vial(n/a),cisplatine mylan,25mg/25ml,vial
cisplatine mylan 50 mg vial,cisplatine mylan,50 mg,vial
cistapront c syurp 120 ml,cistapront c,120 ml,syrup
citak 10 sachets,citak,0,sachets
citalife 10 mg 20 f.c.tab.,citalife,10 mg,tab
citalo 20mg 14 f.c.tab.,citalo,20mg,tab
citalo 2mg/ml oral solution 120 ml,citalo,2mg/ml,oral solution
citalo 40mg 30 f.c.tab.,citalo,40mg,tab
citalofar 40mg 7 f.c.tab.,citalofar,40mg,tab
citalomep 10 mg 14 f.c.tabs.,citalomep,10 mg,tabs
