original_name,drug_name,dose,form
chirocaine 5 mg/ml 10 amp.,chirocaine,5 mg/ml,ampule
chirocaine 7.5 mg/ml 10 amp.,chirocaine,7.5 mg/ml,ampule
chito 500 mg 60 caps.,chito,500 mg,capsule
chito cream 40 gm,chito,40 gm,cream
chitocal 60 caps.,chitocal,0,capsule
chitochro 30 capsules,chitochro,0,capsule
chitogree 30 caps.,chitogree,0,capsule
chitosan 500mg 30 caps.,chitosan,500mg,capsule
chitoseal cream 50 gm,chitoseal,50 gm,cream
chitowell 30 caps.,chitowell,0,capsule
chloramphenicol 0.5% eye drops.,chloramphenicol,0.5%,eye drops
chloramphenicol 250 mg 12 caps. b.p93,chloramphenicol,250 mg,capsule
chlorantine-m 4mg 20 tab.,chlorantine-m,4mg,tablet
chlorhexidine 0.5% 10*10 gauze dressing,chlorhexidine,0.5%,gauze dressing
chlorhexidine 0.5% 10*30cm gauze dressing,chlorhexidine,0.5%,gauze dressing
chlorhexidine antibacterial mouth wash with fluoride 200 ml,chlorhexidine antibacterial with fluoride,200 ml,mouth wash
chlorophenalex 10mg/2ml 100 amp.,chlorophenalex,10mg/2ml,ampule
chloroquine phosphate 200mg/5ml 5 amps,chloroquine phosphate,200mg/5ml,ampule
chloroquine phosphate 200mg/5ml 50 amps,chloroquine phosphate,200mg/5ml,ampule
chloroquine phosphate 250 mg 20 tabs.,chloroquine phosphate,250 mg,tablet
chlorpheniramine 4 mg 20 tab. b.p.93,chlorpheniramine,4 mg,tablet
choco monster powder 10 sachets,choco monster powder,0,sachet
chocospot iron 20 chewable tabs.,chocospot iron,0,chewable tablet
choisil 30 tab,choisil,0,tablet
cholaflux 50 mg 10 f.c.tabs.,cholaflux,50 mg,tablet
cholcarol 200 i.u/drop oral drops 15 ml,cholcarol,200 i.u/drop,oral drops
cholelage 30 ml oral drops,cholelage,30 ml,oral drops
cholenorm 600mg 10 f.c.tab.,cholenorm,600mg,tablet
cholera vaccine vial e.p. 84,cholera vaccine,0,vial
cholerose 10mg 21 f.c.tab,cholerose,10mg,tablet
cholerose 20mg 21 f.c. tabs,cholerose,20mg,tablet
cholerose 40 mg 28 f.c. tabs.,cholerose,40 mg,tablet
cholerose 5mg 14 tablets,cholerose,5mg,tablet
cholerose plus 10/10 mg 14 f.c.tablets,cholerose plus,10/10 mg,tablet
cholerose plus 10/10 mg 28 f.c.tabs.,cholerose plus,10/10 mg,tablet
cholerose plus 10/20mg 14 f.c. tablets,cholerose plus,10/20mg,tablet
cholerose plus 10/20mg 28 f.c.tabs.,cholerose plus,10/20mg,tablet
cholerose plus 10/40mg 28 f.c.tabs.,cholerose plus,10/40mg,tablet
cholerose plus 5/10mg 28 f.c.tabs.,cholerose plus,5/10mg,tablet
cholestate 10mg 10 f.c. tabs.,cholestate,10mg,tablet
cholestglob 80 mg 10 scored f.c. tab.,cholestglob,80 mg,tablet
cholestran 4 gm 12 sachets,cholestran,4 gm,sachet
choletimb 10 mg 10 tab.,choletimb,10 mg,tablet
choletimb 10 mg 14 tab.,choletimb,10 mg,tablet
choletrix-d3 1000 iu 20 chew. tabs.,choletrix-d3,1000 iu,chewable tablet
choletrix-d3 1000 iu oral drops 30ml,choletrix-d3,1000 iu,oral drops
choletrix-d3 400 iu oral drops 10ml,choletrix-d3,400 iu,oral drops
choletrix-d3 400 iu oral drops 30ml,choletrix-d3,400 iu,oral drops
cholicynar 12 eff. granules sach.,cholicynar,0,granules
cholilysis 10mg 10 tab.,cholilysis,10mg,tablet
