original_name,drug_name,dose,form
sekem regime tea 25 filter bags,sekem regime tea,0,tea
sekem regime tea 50 filter bags,sekem regime tea,0,tea
sekem renal herbs 1.5 gm 15 bags,sekem renal herbs,1.5 gm,herbs
sekem renal herbs 15 filter bags,sekem renal herbs,0,herbs
sekem rheume herbs 1.5 gm 10 bags,sekem rheume herbs,1.5 gm,herbs
sekem slimming 10/bag,sekem slimming,0,0
sekem slimming herbs,sekem slimming herbs,0,herbs
sekem slimming herbs tea 1.5gm 50 bags,sekem slimming herbs tea,1.5 gm,tea
sekem watercress oil,sekem watercress oil,0,oil
sekem winter herbs (flu) 15 filter bags,sekem winter herbs,0,herbs
selby exfol. & whiten. cream 50 gm,selby exfol. & whiten. cream,50 gm,cream
selcargine 30 cap,selcargine,30 mg,cap
selcodel cream 30 gm,selcodel cream,30 gm,cream
seldan shampoo 250 ml,seldan shampoo,250 ml,shampoo
sele 10 sachet,sele,10 mg,sachet
sele ibm 20 caps,sele ibm,20 mg,caps
selecargine 30 cap,selecargine,30 mg,cap
selectival 20 capsules,selectival,20 mg,capsules
selectocaine 0.4% eye drops 10*0.5 ml sdu,selectocaine eye drops,0.4%,eye drops
selectofur 20mg/2ml 3 amp.,selectofur,20mg/2ml,amp
selectomycin d eye drops 5 ml,selectomycin d eye drops,5 ml,eye drops
seleevar 30 capsules,seleevar,30 mg,capsules
selengena anti-dandruff shampoo 120 ml,selengena anti-dandruff shampoo,120 ml,shampoo
selengena anti-dandruff shampoo 220 ml,selengena anti-dandruff shampoo,220 ml,shampoo
selenika shampoo 120 ml,selenika shampoo,120 ml,shampoo
selenium 200mcg 90 veg caps,selenium,200 mcg,veg caps
selenium daily vit 30 tabs,selenium daily vit,30 mg,tabs
selenium vit 30 tablets,selenium vit,30 mg,tablets
selenium-ace 30 tabs,selenium-ace,30 mg,tabs
selenium-ace cream 50 ml,selenium-ace cream,50 ml,cream
selenix shampoo & conditioner 150 ml,selenix shampoo & conditioner,150 ml,shampoo & conditioner
seleno 10 sachets,seleno,10 mg,sachets
seleno care hair shampoo 150 ml,seleno care hair shampoo,150 ml,shampoo
selenostar 30 tabs.,selenostar,30 mg,tabs
seler anti-dandruff shampoo (for women) 200 ml,seler anti-dandruff shampoo,200 ml,shampoo
seler hair lotion (treated hair) 120 ml,seler hair lotion,120 ml,lotion
seler hair mask cream,seler hair mask cream,0,cream
selestoc 30 f.c. tabs.,selestoc,30 mg,tabs
seletaj massage cream 50 gm,seletaj massage cream,50 gm,cream
seleval hair tonic,seleval hair tonic,0,tonic
selevita 10 sachets,selevita,10 mg,sachets
selex 15 sachets,selex,15 mg,sachets
selfa cream 50 gm,selfa cream,50 gm,cream
selfora hair shampoo 125 ml,selfora hair shampoo,125 ml,shampoo
selfora hair strong lotion 120 ml,selfora hair strong lotion,120 ml,lotion
selgon 10mg 6 infant supp.,selgon,10 mg,infant supp.
selgon 20mg 20 tabs.,selgon,20 mg,tabs
selgon 40mg/ml oral drops 15 ml,selgon oral drops,40mg/ml,oral drops
sellesta topical cream 75 gm,sellesta topical cream,75 gm,cream
selokenzoc 100mg 28 prolonged rel. tabs,selokenzoc,100 mg,prolonged rel. tabs
