original_name,drug_name,dose,form
alpha fresh 2gm 15 sachets,alpha fresh,2 gm,sachets
alpha hepadox 20 caps.,alpha hepadox,Null,caps
alpha kadol oint. 35 gm,alpha kadol,35 gm,oint
alpha lipoic 600mg 20 tab,alpha lipoic,600 mg,tab
alpha more 20 sachets,alpha more,Null,sachets
alpha net 500 mg 20 caps,alpha net,500 mg,caps
alpha primo 20 caps,alpha primo,Null,caps
alpha tone 20 cap,alpha tone,Null,cap
alpha- cart 20 cap,alpha- cart,Null,cap
alphabrinzima 1%/0.2% eye drops 5 ml,alphabrinzima,1%/0.2%,eye drops
alphachymotrypsin 5mg 3 i.m. amps,alphachymotrypsin,5 mg,amps
alphaclarin 250 mg 14 f.c. tabs.,alphaclarin,250 mg,f.c. tabs
alphafe 14 sachet,alphafe,Null,sachet
alphafen 100mg/5ml susp. 120 ml,alphafen,100 mg/5 ml,susp
alphafen 600mg 20 tab,alphafen,600 mg,tab
alphafen 800mg 20 tab.,alphafen,800 mg,tab
alphaflatul syrup 100 ml,alphaflatul,Null,syrup
alphagan p eye drops 5 ml,alphagan p,Null,eye drops
alphakadol oint,alphakadol,Null,oint
alphalaxine 10 tab 25 strips,alphalaxine,Null,tab
alphalipo 600mg 20 f.c. tabs.,alphalipo,600 mg,f.c. tabs
alphamix hair oil 100 ml,alphamix hair,Null,oil
alphamylase syrup 80 ml,alphamylase,Null,syrup
alphanerve 20 tab.,alphanerve,Null,tab
alphanova 0.15% ophth. sol. 5 ml,alphanova,0.15%,ophth. sol
alphanova plus ophth. sol. 5 ml,alphanova plus,Null,ophth. sol
alphanova sante anti stretch mark milk 400 ml,alphanova sante anti stretch mark,Null,milk
alphathromb 5 mcg 20 tabs.,alphathromb,5 mcg,tabs
alphavim 300 - 20 caps.,alphavim,300 mg,caps
alphavim 600 - 20 caps.,alphavim,600 mg,caps
alphintern 30 f.c.tabs,alphintern,Null,f.c.tabs
alpon 30 pieces,alpon,Null,Null
alprax 1 mg 10 s.r.caps.(n/a),alprax,1 mg,s.r.caps
alprax 1 mg 20 tabs,alprax,1 mg,tabs
alprospire 0.5mg/ml amp. for i.v. inf,alprospire,0.5 mg/ml,amp
alsavin one 48 mg / 2.4ml,alsavin one,48 mg / 2.4 ml,Null
alsicur 12 cap,alsicur,Null,cap
alsiroyal 12 cap,alsiroyal,Null,cap
alsiroyal 15 cap,alsiroyal,Null,cap
alsotrin 60 mg 20 caps.,alsotrin,60 mg,caps
altargo 1% top.oint,altargo,1%,top.oint
altiazem 60mg 40 tab,altiazem,60 mg,tab
altomanira 10/40mg 21 tab,altomanira,10/40 mg,tab
alton h cap,alton h,Null,cap
altressa 120 ml spray,altressa,Null,spray
altressa 200 ml shampoo,altressa,Null,shampoo
altressa hair shampoo 200 ml,altressa hair,Null,shampoo
alucal 320mg 20 chewable tab.,alucal,320 mg,chewable tab
alucal plus 20 chew. tab.,alucal plus,Null,chew. tab
alukast 20 mg 20 f.c. tab.,alukast,20 mg,f.c. tab
