original_name,drug_name,dose,form
vitadione 10mg chew. coated tabs.,vitadione,10mg,chew. coated tabs.
vitaferrol 30 soft gelatin caps.,vitaferrol,0,soft gelatin caps.
vitaferrol elixir 120 ml,vitaferrol,120 ml,elixir
vitagins 30 soft gelatin caps.,vitagins,0,soft gelatin caps.
vitaglobin b12 12 cap,vitaglobin b12,0,cap
vitagreen 12 caps.,vitagreen,0,caps.
vitagreen-c 12 caps.,vitagreen-c,0,caps.
vitagreen-e 24 caps.,vitagreen-e,0,caps.
vitagreen-m 12 caps.,vitagreen-m,0,caps.
vitagreen-n 12 caps.,vitagreen-n,0,caps.
vitagreen-p 12 caps.,vitagreen-p,0,caps.
vitagreen-s 12 caps.,vitagreen-s,0,caps.
vital care conditioner imperial argan 250ml,vital care conditioner imperial argan,250ml,conditioner
vital care conditioner keratin oil 250ml,vital care conditioner keratin oil,250ml,conditioner
vital care serum restoring treatment imperial argan 100ml,vital care serum restoring treatment imperial argan,100ml,serum
vital care serum strengthening treatment keratin 100ml,vital care serum strengthening treatment keratin,100ml,serum
vital care shampoo imperial argan 500ml,vital care shampoo imperial argan,500ml,shampoo
vital care shampoo keratin oil 500ml,vital care shampoo keratin oil,500ml,shampoo
vital cod liver oil 30 cap,vital cod liver oil,0,cap
vital hair oil 120 ml,vital hair,120 ml,oil
vital hair oil 60 ml,vital hair,60 ml,oil
vital hair shampoo 200 ml,vital hair,200 ml,shampoo
vital lecithin 1200mg 16 cap,vital lecithin,1200mg,cap
vital materna plus 30 caps.,vital materna plus,0,caps.
vital supreme omega- 3 .1000 mg 30 cap,vital supreme omega-3,1000 mg,cap
vital zinc plus 10 sachets,vital zinc plus,0,sachets
vitalife c 15 cap,vitalife c,0,cap
vitalipid n adult 10 amp.,vitalipid n adult,0,amp.
vitalita shampoo 125 ml,vitalita shampoo,125 ml,shampoo
vitalita soap 100 gm,vitalita soap,100 gm,soap
vitalita v1 deodorant roll-on,vitalita v1 deodorant,0,roll-on
vitalochoc 10 sachet,vitalochoc,0,sachet
vitalochoc plus 10 sachet,vitalochoc plus,0,sachet
vitalogy b 30 tab,vitalogy b,0,tab
vitalox b12 energy 10 oral ampoules x 7 ml,vitalox b12 energy,7 ml,oral ampoules
vitalox complete a-z 100 tabs.,vitalox complete a-z,0,tabs.
vitalox complete a-z 30 tabs.,vitalox complete a-z,0,tabs.
vitalox junior liquid 200 ml,vitalox junior,200 ml,liquid
vitalox magnesium 8 oral ampoules x 30 ml,vitalox magnesium,30 ml,oral ampoules
vitalux 30 cap,vitalux,0,cap
vitamax 30 caps. (n/a),vitamax,0,caps.
vitamax plus 20 caps,vitamax plus,0,caps
vitamerge sublingual 30 tablets,vitamerge,0,sublingual tablets
vitamin a & e soft gelatin 24 caps.,vitamin a & e,0,soft gelatin caps.
vitamin a 10 000 i.u. 100 softgels (illegal import),vitamin a,10000 i.u.,softgels
vitamin a 50.000 i.u. 24 caps.,vitamin a,50000 i.u.,caps.
vitamin b complex 200 sugar coated tab.,vitamin b complex,0,sugar coated tab.
vitamin b-12 2500 mcg 60 sublingual microlozenges (illegal import),vitamin b-12,2500 mcg,sublingual microlozenges
vitamin b-complex and vitamin b-12 180 tablets (illegal import),vitamin b-complex and vitamin b-12,0,tablets
vitamin b-complex and vitamin b-12 90 tablets (illegal import),vitamin b-complex and vitamin b-12,0,tablets
