original_name,drug_name,dose,form
sirdalud 4mg 20 tab,sirdalud,4mg,tab
siri pro hair serum 120 ml,siri pro hair,120 ml,serum
sirlivit 100 mg 10 tab,sirlivit,100 mg,tab
sirto 50mg 10 f.c. tabs.,sirto,50mg,tabs
sisley cream 50 gm,sisley,50 gm,cream
sitagliform 50/1000mg 30 f.c. tabs.,sitagliform,50/1000mg,tabs
sitagliform 50/500mg 30 f.c. tabs.,sitagliform,50/500mg,tabs
sitokond cream 50 gm,sitokond,50 gm,cream
sitopromo cream 25 gm,sitopromo,25 gm,cream
siwa germ 20 caps.,siwa germ,0,caps
siwak mouth & wash 250ml,siwak mouth &,250ml,wash
sixpan 10 capsules,sixpan,0,capsules
sk albumin 20% (100ml) vial,sk albumin,20%,vial (100ml)
sk albumin 20% (50ml) vial,sk albumin,20%,vial (50ml)
skeletal 20 tab,skeletal,0,tab
skeleto joint 30tab,skeleto joint,0,tab
skelium 1500 mg 30 tabs,skelium,1500 mg,tabs
skelvitrol 20 tabs,skelvitrol,0,tabs
skilful cream 30 gm,skilful,30 gm,cream
skilful soap 100 gm,skilful,100 gm,soap
skin - cap 5 sachets cream,skin-cap,0,cream (5 sachets)
skin - cap 50 gm cream,skin-cap,50 gm,cream
skin cap shampoo 150 ml,skin cap,150 ml,shampoo
skin cap shampoo 5 sachets,skin cap,0,shampoo (5 sachets)
skin cap spray 100 ml,skin cap,100 ml,spray
skin care plus 10 tab,skin care plus,0,tab
skin hair & nails 60 caps. (natrol),skin hair & nails (natrol),0,caps
skin mix 60 gm cream,skin mix,60 gm,cream
skin mix cream 60 gm,skin mix,60 gm,cream
skin mix lightening cleanser 200 ml,skin mix lightening,200 ml,cleanser
skin mix soap 100 gm,skin mix,100 gm,soap
skin so pure mask 75 gm,skin so pure,75 gm,mask
skin- cap spray 50 ml,skin-cap,50 ml,spray
skinatra top. oint. 15 gm,skinatra,15 gm,ointment
skinnatra cleansing gel 150ml,skinnatra,150ml,cleansing gel
skinnatra moist cream 50gm,skinnatra,50gm,moist cream
skinnatra soap 100gm,skinnatra,100gm,soap
skinntasin cleansing gel 150 ml,skinntasin,150 ml,cleansing gel
skinntasin moist cream 50 gm,skinntasin,50 gm,moist cream
skinntasin soap 100 gm,skinntasin,100 gm,soap
skinoren 20% 30 gm cream,skinoren,20%,cream (30 gm)
skinoren 20% cream 30 gm,skinoren,20%,cream (30 gm)
skinova image foot cream 75 ml,skinova image,75 ml,foot cream
skinovo skin serum 120 ml,skinovo skin,120 ml,serum
skinovo skin serum 25 ml,skinovo skin,25 ml,serum
skinovo skin serum 50 ml,skinovo skin,50 ml,serum
skinrama cream 60 gram,skinrama,60 gram,cream
skivalorine 2.5mg/5ml syrup 100ml,skivalorine,2.5mg/5ml,syrup (100ml)
skivalorine 2.5mg/5ml syrup 120ml,skivalorine,2.5mg/5ml,syrup (120ml)
skivalorine 2.5mg/5ml syrup 150ml,skivalorine,2.5mg/5ml,syrup (150ml)
