original_name,drug_name,dose,form
cubizolid 200 mg 6 f.c. tab.,cubizolid,200 mg,tab
cumino balm 50 gm,cumino,50 gm,balm
cupripen 250mg 30caps. $$,cupripen,250mg,caps
cura 20 cap,cura,0,caps
cura zona anti hair loss md spray 150 ml,cura zona,150 ml,spray
cura zona anti-dandruff shampoo 200 ml,cura zona,200 ml,shampoo
cura zona dry shampoo 200 ml,cura zona,200 ml,shampoo
cura zona emulsion 200 ml,cura zona,200 ml,emulsion
curadic cream 15 gm,curadic,15 gm,cream
curafep 1 gm pd. for iv/im inj.,curafep,1 gm,pd. for iv/im inj.
curafep 2 gm pd. for iv/im inj.,curafep,2 gm,pd. for iv/im inj.
curaflux 125/125 mg 12 caps.,curaflux,125/125 mg,caps
curaflux 250/250 mg 16 caps.,curaflux,250/250 mg,caps
curam 1.2g vial for i.v. inj./inf.,curam,1.2g,vial
curam 156.25/5ml pd. for oral susp. 75ml,curam,156.25/5ml,pd. for oral susp.
curam 1gm 12 f.c. tabs.,curam,228.5mg/5ml,pd. for oral susp.
curam 228.5mg/5ml pd. for oral susp. 75ml,curam,1gm,tabs
curam 312.5 mg/5ml pd. for oral susp. 75ml,curam,312.5 mg/5ml,pd. for oral susp.
curam 457mg/5ml pd. for oral susp. 70ml,curam,457mg/5ml,pd. for oral susp.
curam 625mg 12 f.c.tab.,curam,625mg,tab
curam 642.9mg/5ml pd. for oral susp. 75ml,curam,642.9mg/5ml,pd. for oral susp.
curapergix 75 mg 20 caps.,curapergix,75 mg,caps
curarine 10mg/ml 50 amp,curarine,10mg/ml,amp
curavisc 20mg/2ml intra-articular prefilled syringe,curavisc,20mg/2ml,intra-articular prefilled syringe
curazole 2% topical cream 15 gm,curazole,2%,topical cream
curazole-h shampoo 60 ml,curazole-h,60 ml,shampoo
curcomlox plus 30 liquid caps.,curcomlox,0,liquid caps.
curcutake 30 caps,curcutake,0,caps
cure pro 0.4mg10 caps,cure pro,0.4mg,caps
curepro xr 0.4 mg 10 caps,curepro,0.4 mg,caps
curepro xr 0.4 mg 30 caps.,curepro,0.4 mg,caps
curetyfollic hair tonic vials 8*5ml,curetyfollic,0,hair tonic vials
curisafe 1 gm 12 f.c. tabs,curisafe,1 gm,tabs
curisafe 1 gm 8 tabs,curisafe,1 gm,tabs
curisafe 125mg/5ml susp. 60ml,curisafe,125mg/5ml,susp.
curisafe 250mg/5ml susp. 60ml,curisafe,250mg/5ml,susp.
curisafe 500mg 8 caps,curisafe,500mg,caps
curisafe 500mg/5ml susp. 60ml,curisafe,500mg/5ml,susp.
curisafe pediatric 100mg/ml oral drops 10 ml,curisafe,100mg/ml,oral drops
curityfollic vials,curityfollic,0,vials
curosurf 80mg/ml intratracheal susp. 1.5 ml,curosurf,80mg/ml,intratracheal susp.
curosurf 80mg/ml intratracheal susp. 3 ml,curosurf,80mg/ml,intratracheal susp.
cushion 10 sachets,cushion,0,sachets
cusicrom 2% 30ml n. spray,cusicrom,2%,n. spray
cusimolol 0.5% ophth. drops 5 ml,cusimolol,0.5%,ophth. drops
cusiviral eye drops,cusiviral,0,eye drops
cut down 120 mg 20 caps.,cut down,120 mg,caps
cutacort cream 15 gm,cutacort,15 gm,cream
cutasone 0.05% cream 20 gm,cutasone,0.05%,cream
cutasone 0.05% oint. 20 gm,cutasone,0.05%,oint
