original_name,drug_name,dose,form
pulido genica whitening cream 100 gm,pulido genica whitening cream,100 gm,cream
pulmicort 0.25mg/ml 20 nebulizer vial susp.,pulmicort,0.25mg/ml,nebulizer vial susp.
pulmicort 0.5mg/ml 20 nebulizer vial susp.,pulmicort,0.5mg/ml,nebulizer vial susp.
pulmicort 100mcg/dose turbuhaler,pulmicort,100mcg/dose,turbuhaler
pulmicort 200mcg/dose turbohaler,pulmicort,200mcg/dose,turbohaler
pulmiprove 125 mg 30 f.c. tablets,pulmiprove,125 mg,tablets
pulmiprove 62.5 mg 30 f.c. tab,pulmiprove,62.5 mg,tab
pulmocare syrup 125ml,pulmocare,125ml,syrup
pulmonal n syrup 120ml,pulmonal n,120ml,syrup
pulmosolvan 15mg/5ml syrup 100ml,pulmosolvan,15mg/5ml,syrup
pulomotax 0.5 gm i.v. inf. / i.m. vial,pulomotax,0.5 gm,i.v. inf. / i.m. vial
pulomotax 1 gm i.v. inf. / i.m. vial,pulomotax,1 gm,i.v. inf. / i.m. vial
pumpizan 20 mg 20 f.c.tabs.,pumpizan,20 mg,tabs.
puna hair cream 60gm,puna hair,60gm,cream
punita 300mg 10 f.c. tab.,punita,300mg,tab.
punita 600mg 5 f.c. tab.,punita,600mg,tab.
puracit 20mg 14 f.c. tab.,puracit,20mg,tab.
puraguard shampoo 200ml,puraguard,200ml,shampoo
puramax 10 gm 10 sachets,puramax,10 gm,sachets
pure-3 / 60 caps.,pure-3,0,caps.
puredex whitening cream 125 gm,puredex whitening,125 gm,cream
puredex whitening cream 60 gm,puredex whitening,60 gm,cream
puregon 100 i.u./0.5ml vial,puregon,100 i.u./0.5ml,vial
puregon 50 i.u./0.5ml vial,puregon,50 i.u./0.5ml,vial
purelan cream 30 gm,purelan,30 gm,cream
purelan cream 60 gm,purelan,60 gm,cream
puresmine 30 tabs,puresmine,0,tabs
purgaton 20mg 30 tab.,purgaton,20mg,tab.
purge vaginal wash 120 ml,purge vaginal,120 ml,wash
puri-nethol 50mg 25 tabs.,puri-nethol,50mg,tabs.
purified water 100% sachet,purified water,0,sachet
purified water 50ml,purified water,50ml,0
purified water usp35 50ml,purified water usp35,50ml,0
purinol 300mg s.r.caps.,purinol,300mg,s.r.caps.
purism cream 35 gm,purism,35 gm,cream
pushuric eff 280 gm,pushuric,280 gm,effervescent
putalaxy gel 75 gm,putalaxy,75 gm,gel
pyral 100mg/ml oral drops 15 ml,pyral,100mg/ml,oral drops
pyral 2.4g/100ml 125ml syrup,pyral,2.4g/100ml,syrup
pyral 250mg 5 children supp.,pyral,250mg,children supp.
pyral 500mg 20 tab,pyral,500mg,tab
pyral extra 20 tabs.,pyral extra,0,tabs.
pyralerosis 10 mg 10 ext. rel. f.c. tabs.,pyralerosis,10 mg,ext. rel. tabs.
pyraphol 6 ped. supp.,pyraphol,0,ped. supp.
pyrazide 500mg 10 tab.,pyrazide,500mg,tab.
pyrazinamide 500mg u.s.p.27 20 tab.,pyrazinamide,500mg,tab.
pyriclonerve 60 mg 30 tabs.,pyriclonerve,60 mg,tabs.
pyridovit 30 caps.,pyridovit,0,caps.
pyritrust 1 gm/100ml soln. i.v. inf.,pyritrust,1 gm/100ml,soln. i.v. inf.
pyritrust 500 mg/50ml soln. i.v. inf.,pyritrust,500 mg/50ml,soln. i.v. inf.
