original_name,drug_name,dose,form
tress follicle booster lotion 60 ml,tress follicle booster,60 ml,lotion
tress follicle booster shampoo 150 ml,tress follicle booster,150 ml,shampoo
tress hair oil 120 ml,tress hair,120 ml,oil
tress hair oil 250 ml,tress hair,250 ml,oil
tretoflamin 0.025% cream 20 gm,tretoflamin,0.025%,cream
tretomart top. gel 40 gm,tretomart,40 gm,gel
trevicta 175mg prefilled syringe,trevicta,175mg,syringe
trevicta 263mg prefilled syringe,trevicta,263mg,syringe
trevicta 350mg prefilled syringe,trevicta,350mg,syringe
trevicta 525mg prefilled syringe,trevicta,525mg,syringe
trexam 500 mg 20 tabs.,trexam,500 mg,tabs
trexotaz 1.5 gm i.m. / i.v. vial,trexotaz,1.5 gm,vial
trexotaz 2 gm i.m. / i.v. vial,trexotaz,2 gm,vial
trexozola 2.5 mg 10 f.c.tabs,trexozola,2.5 mg,tabs
tri care cherry mouth& wash,tri care cherry,0,mouth wash
tri care clove mouth & wash,tri care clove,0,mouth wash
tri care mint mouth & wash,tri care mint,0,mouth wash
tri care mouth & dental wash (alcohol),tri care mouth & dental (alcohol),0,wash
tri care mouth & dental wash (without alcohol),tri care mouth & dental (without alcohol),0,wash
tri tect acne soap 100 gm,tri tect acne,100 gm,soap
tri tect antiseptic soap 100 gm,tri tect antiseptic,100 gm,soap
tri tect baby soap 100 gm,tri tect baby,100 gm,soap
tri tect hand wash 250 ml,tri tect hand,250 ml,wash
tri-b 20 tab,tri-b,0,tab
tri-b i.m. 3 double amp.,tri-b,0,amp
tri-betapronate cream 30 gm,tri-betapronate,30 gm,cream
tri-boron plus 120 caps,tri-boron plus,0,caps
tri-broxol 10 caps.,tri-broxol,0,caps
tri-broxol syrup 100ml,tri-broxol,100ml,syrup
tri-care mouth wash 250 ml,tri-care,250 ml,mouth wash
tri-vitacid 20 tab,tri-vitacid,0,tab
tri-vitacid 3 amp 2 ml,tri-vitacid,2 ml,amp
triacinorm 30 chewable tab.,triacinorm,0,chewable tab
triacor 5/5 mg 10 f.c. tab.,triacor,5/5 mg,tab
triactin 2mg/5ml 120ml syrup,triactin,2mg/5ml,syrup
triactin 4mg 20 tab,triactin,4mg,tab
triamair nasal spray 30 ml,triamair,30 ml,nasal spray
triamcinolone 4mg 10 tab.u.s.p23 (n/a),triamcinolone,4mg,tab
triamcinolone acetonide 40mg/ml im vial,triamcinolone acetonide,40mg/ml,vial
triamerican 1gm i.m. vial,triamerican,1gm,vial
triamerican 500 mg i.m. vial,triamerican,500 mg,vial
triaminic chest congestion syrup 100ml,triaminic chest congestion,100ml,syrup
triaminic cold & allergy syrup 100ml,triaminic cold & allergy,100ml,syrup
triaminic cold & couph syrup 100ml,triaminic cold & couph,100ml,syrup
triaminic cough syrup 100ml,triaminic cough,100ml,syrup
triaminic oral cold drops 15 ml,triaminic oral cold,15 ml,drops
triaxone 1g i.v vial,triaxone,1g,vial
triaxone 1gm i.m. vial,triaxone,1gm,vial
triaxone 500mg vial for i.m. inj.,triaxone,500mg,vial
trib gold 30 capsules,trib gold,0,capsules
