original_name,drug_name,dose,form
paclitax 30 mg vial,paclitax,30 mg,vial
paclitaxel 6 mg/ml 100mg vial,paclitaxel,6 mg/ml,vial
paclitaxel 6 mg/ml 300mg vial,paclitaxel,6 mg/ml,vial
paclitaxel 6 mg/ml 30mg vial,paclitaxel,6 mg/ml,vial
paclitaxel actavis  6mg/ml 100mg vial(n/a),paclitaxel actavis,6mg/ml,vial
paclitaxel actavis  6mg/ml 300mg vial(n/a),paclitaxel actavis,6mg/ml,vial
paclitaxel actavis 6mg/ml 150mg vial(n/a),paclitaxel actavis,6mg/ml,vial
paclitaxel actavis 6mg/ml 30mg vial(n/a),paclitaxel actavis,6mg/ml,vial
paclitaxel ebewe 100 mg vial,paclitaxel ebewe,100 mg,vial
paclitaxel ebewe 30 mg vial,paclitaxel ebewe,30 mg,vial
paclitaxel ebewe 300 mg vial,paclitaxel ebewe,300 mg,vial
paclitaxel stragen 6mg/ml concentrate sol. for i.v. inf.,paclitaxel stragen,6mg/ml,concentrate sol.
pacredo 20mg 30 f.c. tabs,pacredo,20mg,tabs
padutin 100 mg 100 tab,padutin,100 mg,tab
paediatric trace elements 10ml vial,paediatric trace elements,10ml,vial
paediment i.v. infusion 250 ml,paediment,250 ml,i.v. infusion
paediment iv infusion 250 ml,paediment,250 ml,iv infusion
pain free gel 20 gm,pain free,20 gm,gel
pain reliefer 30 caps.,pain reliefer,0,caps.
painaway 3% topical gel 50 gm,painaway,3%,topical gel
painica 150mg 30 caps.,painica,150mg,caps.
painica 25 mg 30 caps.,painica,25 mg,caps.
painica 300mg 10 caps.,painica,300mg,caps.
painica 50 mg 30 caps.,painica,50 mg,caps.
painica 75mg 20 caps.,painica,75mg,caps.
paklitaxfil 100mg/16.7ml vial,paklitaxfil,100mg/16.7ml,vial
paklitaxfil 150mg/25ml vial,paklitaxfil,150mg/25ml,vial
paklitaxfil 30mg/5ml concentrate i.v.infusion,paklitaxfil,30mg/5ml,concentrate i.v.infusion
pal-mash 0.1% topical cream 30 gm,pal-mash,0.1%,topical cream
palenoid 0.1% topical gel 30 gm,palenoid,0.1%,topical gel
paliper 3 mg 7 extended release f.c. tabs.,paliper,3 mg,extended release tabs.
paliper 6 mg 7 extended release f.c. tabs.,paliper,6 mg,extended release tabs.
palitative cream 40gm,palitative,40gm,cream
palizage 0.1% topical cream 15 gm,palizage,0.1%,topical cream
palizage 0.1% topical gel 15 gm,palizage,0.1%,topical gel
palizage cream 15g,palizage,15g,cream
palizage gel 15 g,palizage,15 g,gel
palm fresh massage cream 60 gm,palm fresh massage,60 gm,cream
palmefer 12 oral sachets,palmefer,0,oral sachets
palmefer 15 oral sachets,palmefer,0,oral sachets
palmetol hair lotion 150 ml,palmetol,150 ml,hair lotion
palonoflat 0.25mg/5ml vial for i.v.,palonoflat,0.25mg/5ml,vial
palotech 0.25mg/5ml ampoule,palotech,0.25mg/5ml,ampoule
pamidin 250mg 20 tab.,pamidin,250mg,tab.
pan-amin g i.v. infusion 500 ml,pan-amin g,500 ml,i.v. infusion
pan-amin g solution for injection 500 ml,pan-amin g,500 ml,solution
pan-amin sg i.v. infusion,pan-amin sg,0,i.v. infusion
pan-d topical lotion 120ml,pan-d,120ml,topical lotion
pan-terramycin solution,pan-terramycin,0,solution
panadol 500mg 24 tablets,panadol,500mg,tablets
