original_name,drug_name,dose,form
tenotens 50mg 14 f.c.tab.,tenotens,50mg,tab
tenotens plus 100/25mg 10 f.c. tab.,tenotens plus,100/25mg,tab
tenotens plus 50/12.5mg 10 f.c. tab.,tenotens plus,50/12.5mg,tab
tenoxicam 20mg 20 caps,tenoxicam,20mg,caps
tenoxil 20mg 10 tab.,tenoxil,20mg,tab
tenoxil 20mg i.v./i.m. lyophilized vial,tenoxil,20mg,lyophilized vial
tenso-freeze  gel 80  gram,tenso-freeze,0,gel
tensofor 7.5mg/ml oral drops 15 ml,tensofor,7.5mg/ml,oral drops
tensolol 100mg 20 f.c.tab.,tensolol,100mg,tab
tensopleron 25mg 20 f.c. tab.,tensopleron,25mg,tab
tensopleron 25mg 30 f.c. tab.,tensopleron,25mg,tab
tensopleron 50mg 20 f.c. tab.,tensopleron,50mg,tab
tensrelive 400 mg 28 f.c. tab.,tensrelive,400mg,tab
tensrelive 600 mg 28 f.c. tab.,tensrelive,600mg,tab
tensrelive plus 600/12.5mg 21 f.c. tab.,tensrelive plus,600/12.5mg,tab
tensrelive plus 600/25mg 21 f.c.tab.,tensrelive plus,600/25mg,tab
tenta 20 tab,tenta,0,tab
tentavair 160mcg/actuation inhaler 120 doses,tentavair,160mcg/actuation,inhaler
tentavair 40mcg/actuation inhaler 120 doses,tentavair,40mcg/actuation,inhaler
tentavair 80mcg/actuation inhaler 120 doses,tentavair,80mcg/actuation,inhaler
tentex forte 100 tab,tentex forte,0,tab
tenway hair spray 100 ml,tenway hair,0,spray
tepedrine 20 tab,tepedrine,0,tab
tepedrone 20 tab,tepedrone,0,tab
tequin 200 mg 20 ml vial,tequin,200mg,vial
tequin 200 mg tab,tequin,200mg,tab
tequin 400 mg 40 ml vial,tequin,400mg,vial
tequin 400 mg tab,tequin,400mg,tab
tera 30 tabs,tera,0,tabs
tera vit 15 ml oral drops,tera vit,0,oral drops
terabitat 100 mg 4 caps.,terabitat,100mg,caps
teracin 2mg 10 caps.,teracin,2mg,caps
teracin 5mg 10 caps.,teracin,5mg,caps
teranea cream 60 gm,teranea,0,cream
terasag 60 gm massage gel,terasag,0,massage gel
terazin 2mg 20 tab.,terazin,2mg,tab
terazin 5mg 10 tabs.,terazin,5mg,tabs
terbafenol 1% top. spray 30 ml,terbafenol,1%,topical spray
terbecomasil 1% spray 30 ml,terbecomasil,1%,spray
terbifungin 1% cream 15 gm,terbifungin,1%,cream
terbifungin 250 mg 14 tab.,terbifungin,250mg,tab
terbin 1% cream 15 gm,terbin,1%,cream
terbin 1% topical solution 15 ml,terbin,1%,topical solution
terbin 1% topical spray 30 ml,terbin,1%,topical spray
terbin 250mg 14 tab.,terbin,250mg,tab
terbinafine 1% topical aerosol powder.,terbinafine,1%,topical aerosol powder
terbinajed 1% cream 30 gm,terbinajed,1%,cream
terbinasil 250 mg 14 tab.,terbinasil,250mg,tab
terbutanyl 1.5mg/5ml syrup 120ml,terbutanyl,1.5mg/5ml,syrup
terbutanyl 2.5 mg 20 tab.,terbutanyl,2.5mg,tab
