original_name,drug_name,dose,form
kitadan hair spray 120 ml,kitadan hair,120 ml,spray
kitalight cream 50 gm,kitalight,50 gm,cream
kiti 75 mg 30 caps.,kiti,75 mg,caps.
kiti s.r. 200mg 10 caps.,kiti s.r.,200mg,caps.
kiti sr 10caps,kiti sr,0,caps
kivamixo 60ml syrup,kivamixo,60ml,syrup
klacid 125mg/5 ml susp. 70 ml,klacid,125mg/5 ml,susp.
klacid 250mg 14 f.c. tablets,klacid,250mg,tablets
klacid 250mg/5ml susp. 70ml,klacid,250mg/5ml,susp.
klacid 500mg 14 f.c. tablets,klacid,500mg,tablets
klacid 500mg vial,klacid,500mg,vial
klacid xl 500mg 14 f.c. tas.,klacid xl,500mg,tas.
klano care topical lotion 120 ml,klano care,120 ml,topical lotion
klarimix 125mg/5ml susp. 60ml,klarimix,125mg/5ml,susp.
klarimix 250mg 14 tab.,klarimix,250mg,tab.
klarimix 250mg/5ml susp. 60ml,klarimix,250mg/5ml,susp.
klarimix 500mg 14 tab.,klarimix,500mg,tab.
klavox 1gm 14 f.c.tab.,klavox,1gm,tab.
klavox 228mg/5ml susp. 70ml,klavox,228mg/5ml,susp.
klavox 457mg/5ml susp. 70ml,klavox,457mg/5ml,susp.
kleen cream 30 gm,kleen,30 gm,cream
kleen cream 30gm,kleen,30gm,cream
klemazice 40mg 14 caps.,klemazice,40mg,caps.
klendabioticam 1 % top. solution,klendabioticam,1 %,top. solution
klenken 100gm cream,klenken,100gm,cream
klenva vag.douche 250 ml,klenva,250 ml,vag.douche
kliedoflash 30 tabs,kliedoflash,0,tabs
klimadynon 30 tab.,klimadynon,0,tab.
kliogest ( novo ) 28 tab,kliogest ( novo ),0,tab
klozepam 0.5mg 20 tabs.,klozepam,0.5mg,tabs.
klozepam 2 mg 20 tabs.,klozepam,2 mg,tabs.
klozepam 2.5mg/ml 15ml oral drops,klozepam,2.5mg/ml,oral drops
kly lubricating jelly 42 gm,kly lubricating jelly,42 gm,jelly
kly lubricating jelly 82 gm,kly lubricating jelly,82 gm,jelly
knee brace,knee brace,0,0
kneehealth 30 caps,kneehealth,0,caps
koate dvi 100 vial,koate dvi,100 mg,vial
koate dvi 50 vial,koate dvi,50 mg,vial
koate-dvi 250 iu i.v. vial 5 ml,koate-dvi,250 iu,i.v. vial
koate-dvi 500 iu i.v. vial 5 ml,koate-dvi,500 iu,i.v. vial
kode joints 30 tab,kode joints,0,tab
kodomeg 30 cap,kodomeg,0,cap
koenvy 120ml syrup,koenvy,120ml,syrup
koffex 120ml ad syrup,koffex ad,120ml,syrup
koffex adult syrup 120ml,koffex adult,120ml,syrup
koffex children 125ml syrup,koffex children,125ml,syrup
koffex children syrup 125ml,koffex children,125ml,syrup
kofzym 120 ml syrup,kofzym,120 ml,syrup
kogenate-fs 250 iu i.v. infusion vial 2.5 ml,kogenate-fs,250 iu,i.v. infusion vial
kogenate-fs 500 iu i.v. infusion vial 2.5 ml,kogenate-fs,500 iu,i.v. infusion vial
