original_name,drug_name,dose,form
e-ze-p 2mg 10 s.g. caps.,e-ze-p,2mg,s.g. caps.
e-ze-p 5mg 10 s.g. cap.,e-ze-p,5mg,s.g. cap.
e.p.a natural 20 cap,e.p.a natural,20mg,cap
e.p.o. 2000i.u. i.v./s.c.vial,e.p.o.,2000i.u.,i.v./s.c.vial
e.p.o. 3000 i.u. i.v./s.c.vial,e.p.o.,3000 i.u.,i.v./s.c.vial
e.p.o. 4000i.u. i.v./s.c.vial,e.p.o.,4000i.u.,i.v./s.c.vial
eaclovir 500mg 7 f.c. tabs.,eaclovir,500mg,tabs.
eaformeat 1000mg 10 f.c. tabs.,eaformeat,1000mg,tabs.
ear wax 6.5mg/100ml drops,ear wax,6.5mg/100ml,drops
earo-cure drops,earo-cure,0,drops
earocure ear drops 10 ml,earocure,10 ml,ear drops
earwax ear drops 15 ml,earwax,15 ml,ear drops
easterine mouth wash,easterine,0,mouth wash
easy baby cream 100 ml,easy baby,100 ml,cream
easy care 120 gm oral gel,easy care,120 gm,oral gel
easy care baby 80 wipes,easy care baby,80mg,wipes
easy diet 160 gm powder,easy diet,160 gm,powder
easy diet 20 sachets,easy diet,20mg,sachets
easy iron 28 mg 90 capsules (illegal import),easy iron,28 mg,capsules
easy meal 20 capsules,easy meal,20mg,capsules
easy move cream 50 gm,easy move,50 gm,cream
easy slim 120mg 10 caps.,easy slim,120mg,caps.
easy wax 20 strips -2,easy wax,20mg,strips
easycol baby lactase enzyme oral drops 15 ml,easycol baby lactase enzyme,15 ml,oral drops
easyrect 100 mg 4 tabs.,easyrect,100 mg,tabs.
easyrest 50 gm gel,easyrest,50 gm,gel
easyron 30 tablets,easyron,30mg,tablets
eaz-x gel 25 ml,eaz-x,25 ml,gel
eaz-x gel 50 ml,eaz-x,50 ml,gel
eba care cream 120 gm,eba care,120 gm,cream
eba pure skin cleanser 250 ml,eba pure skin,250 ml,cleanser
eba soft gel 120 gm,eba soft,120 gm,gel
eba-act hair lotion 120 ml,eba-act,120 ml,hair lotion
eba-act hair shampoo 200 ml,eba-act,200 ml,hair shampoo
ebaclean vag. wash 250 ml,ebaclean,250 ml,vag. wash
ebafer 20 sachets,ebafer,20mg,sachets
ebafix hair conditioning shampoo 200 ml,ebafix,200 ml,hair conditioning shampoo
ebafix hair serum 120 ml,ebafix,120 ml,hair serum
ebaglow body wash 400 ml,ebaglow,400 ml,body wash
ebaglow cream 20 gm,ebaglow,20 gm,cream
ebaglow cream 50 gm,ebaglow,50 gm,cream
ebaglow foam 150 ml,ebaglow,150 ml,foam
ebaglow gel 200 ml,ebaglow,200 ml,gel
ebamoist cream 120 gm,ebamoist,120 gm,cream
ebanza cream,ebanza,0,cream
ebastel 10mg 10 tab.,ebastel,10mg,tab.
ebastel 1mg/ml syrup 100 ml,ebastel,1mg/ml,syrup
ebastine-borg 0.1% syrup 60 ml,ebastine-borg,0.1%,syrup
ebastine-borg 10mg 10 f.c. tabs.,ebastine-borg,10mg,tabs.
ebatrix shampoo 200 ml,ebatrix,200 ml,shampoo
