original_name,drug_name,dose,form
kamagra oral jelly,kamagra,0,oral jelly
kaminomoto hair growth accelerator ii upgrade 180 ml,kaminomoto hair growth accelerator ii upgrade,180 ml,0
kaminomoto hair growth tonic ii upgrade 180 ml,kaminomoto hair growth tonic ii upgrade,180 ml,0
kaminomoto hair growth trigger 180 ml,kaminomoto hair growth trigger,180 ml,0
kaminomoto mild shampoo 200 ml,kaminomoto mild,200 ml,shampoo
kaminomoto nourishing rinse 200 ml,kaminomoto nourishing,200 ml,rinse
kamistad 10 g oral gel,kamistad,10 g,oral gel
kamistad oral gel 10 gm,kamistad,10 gm,oral gel
kampoti kudo cream 100 gm,kampoti kudo,100 gm,cream
kampoti kudo cream 200 gm,kampoti kudo,200 gm,cream
kanazar h 100mg 8 tab,kanazar h,100mg,tablet
kanazar-h 50/12.5mg,kanazar-h,50/12.5mg,0
kanjinti 420 mg vial (pd for i.v. inf.),kanjinti,420 mg,vial
kansartan 150mg 30 tab.,kansartan,150mg,tablet
kansartan 300mg 30 tab,kansartan,300mg,tablet
kansartan 75mg 30 tab.,kansartan,75mg,tablet
kansartan plus 150/12.5mg 30 f.c. tabs.,kansartan plus,150/12.5mg,tablet
kansartan plus 300/12.5mg 30 f.c. tabs.,kansartan plus,300/12.5mg,tablet
kanzar 100mg 8 f.c. tabs.,kanzar,100mg,tablet
kanzar 25mg 7 f.c.tab.,kanzar,25mg,tablet
kanzar 50mg 7 f.c. tabs.,kanzar,50mg,tablet
kanzar-h 100/25 mg 8 f.c. tabs.,kanzar-h,100/25 mg,tablet
kanzar-h 50/12.5 mg 8 f.c. tabs.,kanzar-h,50/12.5 mg,tablet
kapect compound susp. 120 ml,kapect compound,120 ml,suspension
kapect susp. 120 ml,kapect,120 ml,suspension
kapifectin 250mg 14 f.c.tab.,kapifectin,250mg,tablet
kapifectin 500mg 14 f.c.tab.,kapifectin,500mg,tablet
kapritage soap 100 gm,kapritage,100 gm,soap
kapron 500 mg 20 f.c.tabs.,kapron,500 mg,tablet
kapron 500mg/5ml 6 i.v. amp.,kapron,500mg/5ml,ampoule
karbalta 30 mg 28 caps.,karbalta,30 mg,capsule
karbalta 60 mg 30 caps.,karbalta,60 mg,capsule
karinoba 250/25 mg 20 oral disinteg. tabs.,karinoba,250/25 mg,oral disintegrating tablet
karinoba plus 200/50/200 mg 10 f.c. tabs.,karinoba plus,200/50/200 mg,tablet
karmaflox 750 mg 10 f.c. tab.,karmaflox,750 mg,tablet
karmaflox 750 mg 10tab,karmaflox,750 mg,tablet
karmastin 0.05% eye dps. 5 ml,karmastin,0.05%,eye drops
kartajo 30 tablet,kartajo,0,tablet
karti to collagen 15 sachets 10 gm,karti to collagen,10 gm,sachet
karvex 25mg 30 tab.,karvex,25mg,tablet
karvex 6.25mg 30 tab.,karvex,6.25mg,tablet
kaselo cream 50 gm,kaselo,50 gm,cream
kast 10mg 10 f.c. tab,kast,10mg,tablet
kast 5 mg 14 chew. tab.,kast,5 mg,chewable tablet
kastrola facial wash 200 ml,kastrola facial wash,200 ml,0
katalar 50mg vial 10 ml,katalar,50mg,vial
kati shampoo 240 ml,kati,240 ml,shampoo
kativarox 100 mg 30 f.c.tabs.,kativarox,100 mg,tablet
kativarox 10mg/100 ml solution,kativarox,10mg/100 ml,solution
kativarox 50 mg 30 f.c.tabs.,kativarox,50 mg,tablet
