original_name,drug_name,dose,form
trivatracin 110g,trivatracin,110g,0
trivatracin aerosol powder,trivatracin,0,aerosol powder
trivera hair oil 120 ml,trivera hair oil,120 ml,oil
trivera hair shampoo 120 ml,trivera hair shampoo,120 ml,shampoo
triviraten ( m.m.r ) 1 dose vial 0.5 ml,triviraten ( m.m.r ),0.5 ml,vial
trivyspect syrup,trivyspect,0,syrup
trix anti-dandruff hair shampoo 200 ml,trix anti-dandruff hair shampoo,200 ml,shampoo
trix hair lotion 120 ml,trix hair lotion,120 ml,lotion
trix hair mask 150 ml,trix hair mask,150 ml,mask
trix hair shampoo 200 ml,trix hair shampoo,200 ml,shampoo
trixamarc 1000mg i.m. vial,trixamarc,1000mg,vial
trixamarc 500mg i.m. vial,trixamarc,500mg,vial
trixomash 1 gm vial for i.m. inj.,trixomash,1 gm,vial
trixomash 1 gm vial for i.v. inj.,trixomash,1 gm,vial
trixomash 500mg vial for i.m. inj.,trixomash,500mg,vial
trixy 2mg 10 tab.,trixy,2mg,tab
trixy 5mg 10 tab.,trixy,5mg,tab
trobagapi  15sachets,trobagapi,0,sachets
trobel 30 tablets,trobel,0,tablets
trolipon 600mg 10 f.c. tabs,trolipon,600mg,tabs
tromacure topical gel 40 gm,tromacure,40 gm,gel
tromo 20 pieces,tromo,0,pieces
trone 10 sachets 100 gm,trone,100 gm,sachets
tronista 20tabs,tronista,0,tabs
trook line hair cream 75 gm,trook line hair cream,75 gm,cream
trook line hair serum 120 ml,trook line hair serum,120 ml,serum
trook line hair shampoo 250 ml,trook line hair shampoo,250 ml,shampoo
troparin .3000iu 0.3 ml 5 pre disp. syringe,troparin,3000iu,syringe
troparin 3000 i.u 0.5 ml 20 amp,troparin,3000 i.u,amp
trophobolene 1 amp 1 ml,trophobolene,1 ml,amp
trophobolene 2 amp,trophobolene,0,amp
tropiresten 2mg/2ml 5 i.v. amps.,tropiresten,2mg/2ml,amps
tropiresten 5mg/5ml 5 i.v. amps.,tropiresten,5mg/5ml,amps
trospamexin 20mg 20 f.c. tabs.,trospamexin,20mg,tabs
trospikan 20mg 10 f.c. tabs.,trospikan,20mg,tabs
trospikan 20mg 30 f.c. tabs.,trospikan,20mg,tabs
trospikan 20mg10 tab,trospikan,20mg,tab
trospikan sr 60mg 7 f.c. tabs.,trospikan sr,60mg,tabs
trosyd 1% dermal cream 20 gm,trosyd,1%,cream
trosyd 1% dermal lotion 30 gm,trosyd,1%,lotion
trosyd 1% dermal powder 30 gm,trosyd,1%,powder
trosyd 28% nail solution 5 ml,trosyd,28%,solution
troya care hair ampoules 2*10 ml,troya care hair,10 ml,ampoules
troya care hair shampoo 200 ml,troya care hair shampoo,200 ml,shampoo
troya care hair tonic lotion 120 ml,troya care hair tonic lotion,120 ml,lotion
trozachrome 3 i.m. amps.,trozachrome,0,amps
trozal 1% 20gm cream,trozal,1%,cream
trozal 1% 30ml lotoin,trozal,1%,lotion
trozal 1% topical cream 20 gm,trozal,1%,cream
trozal 1% topical lotion 30 ml,trozal,1%,lotion
